ticker,snapshot_date,pe_vs_peers,ev_ebitda_vs_peers,growth_vs_peers,margin_vs_peers,roic_vs_peers,sector_relative_pe,sector_relative_growth,sector_relative_roic
GOOGL,2026-02-06,0.690000,0.755000,-0.014600,-0.046000,-0.003500,0.768000,-0.016500,-0.000100
AMZN,2026-02-06,0.597000,0.435000,0.025900,-0.095600,-0.032000,0.530000,0.047200,0.030000
TSLA,2026-02-06,2.773000,3.675000,-0.094300,-0.031600,-0.060000,1.470000,-0.047100,-0.030000
JPM,2026-02-06,0.421000,0.507000,-0.001400,-0.283200,-0.317800,0.593000,-0.000700,-0.158900
V,2026-02-06,2.375000,1.973000,0.001400,0.283200,0.317800,1.407000,0.000700,0.158900
NFLX,2026-02-06,1.703000,1.737000,-0.028000,-0.108900,-0.045500,1.380000,-0.018700,-0.030300
AAPL,2026-02-13,0.754000,0.734000,-0.357700,-0.214300,0.050400,0.822000,-0.238500,0.033600
MSFT,2026-02-13,0.943000,0.803000,-0.152900,0.028200,-0.254200,0.861000,-0.154100,-0.256900
NVDA,2026-02-13,1.566000,1.841000,0.588800,0.230000,0.335100,1.318000,0.392500,0.223400
META,2026-02-13,0.794000,0.714000,0.058200,0.112800,0.043000,0.852000,0.038800,0.028700
GOOGL,2026-02-13,0.690000,0.755000,-0.025400,-0.046500,-0.001300,0.768000,-0.024200,0.001500
AMZN,2026-02-13,0.597000,0.435000,0.027700,-0.091900,-0.034400,0.530000,0.046300,0.030000
TSLA,2026-02-13,2.773000,3.675000,-0.092600,-0.033600,-0.060100,1.470000,-0.046300,-0.030000
JPM,2026-02-13,0.421000,0.507000,-0.008000,-0.281400,-0.329200,0.593000,-0.004000,-0.164600
V,2026-02-13,2.375000,1.973000,0.008000,0.281400,0.329200,1.407000,0.004000,0.164600
NFLX,2026-02-13,1.703000,1.737000,-0.021900,-0.101100,-0.045200,1.380000,-0.014600,-0.030100
AAPL,2026-02-20,0.754000,0.734000,-0.388100,-0.223400,0.039100,0.822000,-0.258800,0.026100
MSFT,2026-02-20,0.943000,0.803000,-0.166500,0.026500,-0.246300,0.861000,-0.169700,-0.251000
NVDA,2026-02-20,1.566000,1.841000,0.642600,0.244200,0.337400,1.318000,0.428400,0.224900
META,2026-02-20,0.794000,0.714000,0.069100,0.134300,0.042800,0.852000,0.046000,0.028500
GOOGL,2026-02-20,0.690000,0.755000,-0.031800,-0.054900,-0.002700,0.768000,-0.028600,0.002000
AMZN,2026-02-20,0.597000,0.435000,0.034700,-0.091500,-0.036100,0.530000,0.049000,0.029200
TSLA,2026-02-20,2.773000,3.675000,-0.097900,-0.032400,-0.058300,1.470000,-0.049000,-0.029100
JPM,2026-02-20,0.421000,0.507000,-0.001800,-0.279800,-0.317300,0.593000,-0.000900,-0.158600
V,2026-02-20,2.375000,1.973000,0.001800,0.279800,0.317300,1.407000,0.000900,0.158700
NFLX,2026-02-20,1.703000,1.737000,-0.026200,-0.112400,-0.045800,1.380000,-0.017500,-0.030500
AAPL,2026-02-27,0.754000,0.734000,-0.377400,-0.218100,0.040700,0.822000,-0.251600,0.027100
MSFT,2026-02-27,0.943000,0.803000,-0.170300,0.022500,-0.263300,0.861000,-0.169600,-0.265200
NVDA,2026-02-27,1.566000,1.841000,0.631800,0.240100,0.357100,1.318000,0.421200,0.238000
META,2026-02-27,0.794000,0.714000,0.057000,0.111500,0.043400,0.852000,0.038000,0.028900
GOOGL,2026-02-27,0.690000,0.755000,-0.021200,-0.043300,-0.000300,0.768000,-0.021800,0.001500
AMZN,2026-02-27,0.597000,0.435000,0.028300,-0.092000,-0.039800,0.530000,0.047800,0.027200
TSLA,2026-02-27,2.773000,3.675000,-0.095500,-0.036100,-0.054300,1.470000,-0.047700,-0.027200
JPM,2026-02-27,0.421000,0.507000,-0.001700,-0.275100,-0.315600,0.593000,-0.000900,-0.157800
V,2026-02-27,2.375000,1.973000,0.001700,0.275100,0.315600,1.407000,0.000800,0.157800
NFLX,2026-02-27,1.703000,1.737000,-0.024200,-0.102500,-0.045700,1.380000,-0.016100,-0.030500
AAPL,2026-03-06,0.754000,0.734000,-0.382700,-0.219400,0.042700,0.822000,-0.255200,0.028500
MSFT,2026-03-06,0.943000,0.803000,-0.163600,0.024600,-0.253700,0.861000,-0.164400,-0.258200
NVDA,2026-03-06,1.566000,1.841000,0.629300,0.239600,0.344700,1.318000,0.419500,0.229800
META,2026-03-06,0.794000,0.714000,0.063500,0.127300,0.048300,0.852000,0.042300,0.032200
GOOGL,2026-03-06,0.690000,0.755000,-0.022400,-0.049200,-0.006900,0.768000,-0.021600,-0.002400
AMZN,2026-03-06,0.597000,0.435000,0.023100,-0.091800,-0.032100,0.530000,0.045900,0.030900
TSLA,2026-03-06,2.773000,3.675000,-0.091800,-0.033400,-0.061800,1.470000,-0.045900,-0.030900
JPM,2026-03-06,0.421000,0.507000,0.000900,-0.266400,-0.317700,0.593000,0.000400,-0.158800
V,2026-03-06,2.375000,1.973000,-0.000900,0.266400,0.317700,1.407000,-0.000500,0.158900
NFLX,2026-03-06,1.703000,1.737000,-0.031100,-0.110500,-0.044700,1.380000,-0.020800,-0.029800
AAPL,2026-03-13,0.754000,0.734000,-0.368700,-0.211200,0.055600,0.822000,-0.245800,0.037100
MSFT,2026-03-13,0.943000,0.803000,-0.160900,0.022800,-0.257700,0.861000,-0.162700,-0.260700
NVDA,2026-03-13,1.566000,1.841000,0.612700,0.232900,0.335500,1.318000,0.408500,0.223700
META,2026-03-13,0.794000,0.714000,0.080400,0.125100,0.046600,0.852000,0.053600,0.031000
GOOGL,2026-03-13,0.690000,0.755000,-0.037000,-0.045700,-0.002300,0.768000,-0.035200,0.000700
AMZN,2026-03-13,0.597000,0.435000,0.032500,-0.094700,-0.037100,0.530000,0.048400,0.028900
TSLA,2026-03-13,2.773000,3.675000,-0.096700,-0.032500,-0.057700,1.470000,-0.048300,-0.028800
JPM,2026-03-13,0.421000,0.507000,-0.004500,-0.274600,-0.315800,0.593000,-0.002300,-0.157900
V,2026-03-13,2.375000,1.973000,0.004500,0.274600,0.315800,1.407000,0.002300,0.157900
NFLX,2026-03-13,1.703000,1.737000,-0.027600,-0.112300,-0.047700,1.380000,-0.018400,-0.031800
AAPL,2026-03-20,0.754000,0.734000,-0.390700,-0.223500,0.055500,0.822000,-0.260500,0.037000
MSFT,2026-03-20,0.943000,0.803000,-0.160400,0.026300,-0.266900,0.861000,-0.163700,-0.269000
NVDA,2026-03-20,1.566000,1.841000,0.636200,0.243700,0.348000,1.318000,0.424100,0.232000
META,2026-03-20,0.794000,0.714000,0.062300,0.121000,0.052600,0.852000,0.041500,0.035100
GOOGL,2026-03-20,0.690000,0.755000,-0.028000,-0.051100,-0.002800,0.768000,-0.024800,-0.000700
AMZN,2026-03-20,0.597000,0.435000,0.032400,-0.090200,-0.033300,0.530000,0.050200,0.030100
TSLA,2026-03-20,2.773000,3.675000,-0.100300,-0.035900,-0.060100,1.470000,-0.050100,-0.030100
JPM,2026-03-20,0.421000,0.507000,-0.003500,-0.262400,-0.321700,0.593000,-0.001700,-0.160800
V,2026-03-20,2.375000,1.973000,0.003500,0.262400,0.321700,1.407000,0.001800,0.160900
NFLX,2026-03-20,1.703000,1.737000,-0.025200,-0.104000,-0.051500,1.380000,-0.016800,-0.034300
AAPL,2026-03-27,0.754000,0.734000,-0.396400,-0.213900,0.048900,0.822000,-0.264200,0.032600
MSFT,2026-03-27,0.943000,0.803000,-0.180100,0.019900,-0.264600,0.861000,-0.177500,-0.266900
NVDA,2026-03-27,1.566000,1.841000,0.662700,0.239100,0.351500,1.318000,0.441800,0.234400
META,2026-03-27,0.794000,0.714000,0.055700,0.118600,0.040700,0.852000,0.037100,0.027100
GOOGL,2026-03-27,0.690000,0.755000,-0.019400,-0.044600,-0.003800,0.768000,-0.022000,-0.001500
AMZN,2026-03-27,0.597000,0.435000,0.030400,-0.092400,-0.032600,0.530000,0.051100,0.030400
TSLA,2026-03-27,2.773000,3.675000,-0.102100,-0.035600,-0.060700,1.470000,-0.051000,-0.030300
JPM,2026-03-27,0.421000,0.507000,0.003700,-0.278000,-0.310100,0.593000,0.001900,-0.155000
V,2026-03-27,2.375000,1.973000,-0.003700,0.278000,0.310100,1.407000,-0.001800,0.155100
NFLX,2026-03-27,1.703000,1.737000,-0.022700,-0.106700,-0.038400,1.380000,-0.015100,-0.025600
AAPL,2026-04-02,0.754000,0.734000,-0.381800,-0.210700,0.037600,0.822000,-0.254600,0.025100
MSFT,2026-04-02,0.943000,0.803000,-0.164200,0.017500,-0.262700,0.861000,-0.164100,-0.265500
NVDA,2026-04-02,1.566000,1.841000,0.628000,0.238000,0.360600,1.318000,0.418600,0.240400
META,2026-04-02,0.794000,0.714000,0.064600,0.124300,0.039300,0.852000,0.043100,0.026200
GOOGL,2026-04-02,0.690000,0.755000,-0.022600,-0.046800,0.000700,0.768000,-0.022700,0.003500
AMZN,2026-04-02,0.597000,0.435000,0.028900,-0.091400,-0.036900,0.530000,0.050000,0.029500
TSLA,2026-04-02,2.773000,3.675000,-0.100000,-0.036600,-0.058900,1.470000,-0.050000,-0.029400
JPM,2026-04-02,0.421000,0.507000,0.002600,-0.271600,-0.313800,0.593000,0.001300,-0.156900
V,2026-04-02,2.375000,1.973000,-0.002600,0.271600,0.313800,1.407000,-0.001300,0.156900
NFLX,2026-04-02,1.703000,1.737000,-0.030500,-0.107700,-0.044600,1.380000,-0.020300,-0.029700
AAPL,2026-04-10,0.754000,0.734000,-0.407500,-0.222600,0.065000,0.822000,-0.271700,0.043300
MSFT,2026-04-10,0.943000,0.803000,-0.178200,0.021400,-0.265900,0.861000,-0.180000,-0.270500
NVDA,2026-04-10,1.566000,1.841000,0.677600,0.247400,0.340800,1.318000,0.451700,0.227200
META,2026-04-10,0.794000,0.714000,0.058000,0.126600,0.050000,0.852000,0.038700,0.033300
GOOGL,2026-04-10,0.690000,0.755000,-0.025200,-0.046100,-0.007200,0.768000,-0.023400,-0.002600
AMZN,2026-04-10,0.597000,0.435000,0.026600,-0.091400,-0.032600,0.530000,0.047700,0.029800
TSLA,2026-04-10,2.773000,3.675000,-0.095300,-0.037400,-0.059500,1.470000,-0.047600,-0.029700
JPM,2026-04-10,0.421000,0.507000,0.001300,-0.262300,-0.318800,0.593000,0.000600,-0.159400
V,2026-04-10,2.375000,1.973000,-0.001300,0.262300,0.318800,1.407000,-0.000600,0.159400
NFLX,2026-04-10,1.703000,1.737000,-0.022900,-0.114400,-0.046100,1.380000,-0.015200,-0.030800
AAPL,2026-04-17,0.754000,0.734000,-0.407600,-0.216700,0.058200,0.822000,-0.271700,0.038800
MSFT,2026-04-17,0.943000,0.803000,-0.187000,0.022600,-0.267100,0.861000,-0.184500,-0.270900
NVDA,2026-04-17,1.566000,1.841000,0.684300,0.241100,0.348300,1.318000,0.456200,0.232200
META,2026-04-17,0.794000,0.714000,0.062600,0.120900,0.044500,0.852000,0.041800,0.029700
GOOGL,2026-04-17,0.690000,0.755000,-0.017800,-0.048200,-0.007000,0.768000,-0.020200,-0.003200
AMZN,2026-04-17,0.597000,0.435000,0.026500,-0.093300,-0.032100,0.530000,0.049900,0.029900
TSLA,2026-04-17,2.773000,3.675000,-0.099900,-0.033800,-0.059700,1.470000,-0.049900,-0.029800
JPM,2026-04-17,0.421000,0.507000,0.004200,-0.253900,-0.311100,0.593000,0.002100,-0.155500
V,2026-04-17,2.375000,1.973000,-0.004200,0.253900,0.311100,1.407000,-0.002100,0.155600
NFLX,2026-04-17,1.703000,1.737000,-0.032300,-0.106800,-0.039800,1.380000,-0.021500,-0.026500
AAPL,2026-04-24,0.754000,0.734000,-0.416500,-0.220700,0.049300,0.822000,-0.277700,0.032900
MSFT,2026-04-24,0.943000,0.803000,-0.190700,0.020500,-0.266600,0.861000,-0.190300,-0.271900
NVDA,2026-04-24,1.566000,1.841000,0.702000,0.246800,0.358600,1.318000,0.468000,0.239100
META,2026-04-24,0.794000,0.714000,0.066100,0.127000,0.045000,0.852000,0.044100,0.030000
GOOGL,2026-04-24,0.690000,0.755000,-0.023800,-0.046600,-0.007900,0.768000,-0.024200,-0.002600
AMZN,2026-04-24,0.597000,0.435000,0.030300,-0.091600,-0.035800,0.530000,0.050800,0.028600
TSLA,2026-04-24,2.773000,3.675000,-0.101600,-0.036000,-0.057100,1.470000,-0.050800,-0.028600
JPM,2026-04-24,0.421000,0.507000,0.005300,-0.254800,-0.303600,0.593000,0.002600,-0.151800
V,2026-04-24,2.375000,1.973000,-0.005300,0.254800,0.303600,1.407000,-0.002600,0.151800
NFLX,2026-04-24,1.703000,1.737000,-0.029800,-0.114000,-0.041100,1.380000,-0.019900,-0.027400
AAPL,2026-05-01,0.754000,0.734000,-0.418500,-0.217400,0.042400,0.822000,-0.279000,0.028300
MSFT,2026-05-01,0.943000,0.803000,-0.189100,0.032200,-0.266600,0.861000,-0.189700,-0.270700
NVDA,2026-05-01,1.566000,1.841000,0.703100,0.232300,0.363700,1.318000,0.468800,0.242500
META,2026-05-01,0.794000,0.714000,0.073100,0.128000,0.049900,0.852000,0.048700,0.033200
GOOGL,2026-05-01,0.690000,0.755000,-0.028200,-0.055100,-0.006700,0.768000,-0.027600,-0.002600
AMZN,2026-05-01,0.597000,0.435000,0.027500,-0.092400,-0.035500,0.530000,0.049400,0.029500
TSLA,2026-05-01,2.773000,3.675000,-0.098700,-0.034900,-0.059000,1.470000,-0.049300,-0.029500
JPM,2026-05-01,0.421000,0.507000,0.013200,-0.266600,-0.302700,0.593000,0.006600,-0.151400
V,2026-05-01,2.375000,1.973000,-0.013200,0.266600,0.302700,1.407000,-0.006600,0.151300
NFLX,2026-05-01,1.703000,1.737000,-0.031700,-0.108600,-0.046000,1.380000,-0.021200,-0.030700
AAPL,2026-05-08,0.754000,0.734000,-0.399000,-0.218000,0.053500,0.822000,-0.266000,0.035600
MSFT,2026-05-08,0.943000,0.803000,-0.178200,0.025000,-0.264000,0.861000,-0.177000,-0.266600
NVDA,2026-05-08,1.566000,1.841000,0.664500,0.240100,0.346400,1.318000,0.443000,0.230900
META,2026-05-08,0.794000,0.714000,0.075100,0.129000,0.040100,0.852000,0.050000,0.026700
GOOGL,2026-05-08,0.690000,0.755000,-0.026300,-0.049500,-0.003100,0.768000,-0.027500,-0.000500
AMZN,2026-05-08,0.597000,0.435000,0.029600,-0.092400,-0.034200,0.530000,0.050700,0.030400
TSLA,2026-05-08,2.773000,3.675000,-0.101500,-0.036500,-0.060800,1.470000,-0.050800,-0.030400
JPM,2026-05-08,0.421000,0.507000,0.010300,-0.241700,-0.306800,0.593000,0.005200,-0.153400
V,2026-05-08,2.375000,1.973000,-0.010300,0.241700,0.306800,1.407000,-0.005100,0.153400
NFLX,2026-05-08,1.703000,1.737000,-0.033800,-0.114300,-0.039400,1.380000,-0.022600,-0.026300
AAPL,2026-05-15,0.754000,0.734000,-0.410200,-0.224800,0.049500,0.822000,-0.273500,0.033000
MSFT,2026-05-15,0.943000,0.803000,-0.183900,0.020300,-0.276400,0.861000,-0.184600,-0.278900
NVDA,2026-05-15,1.566000,1.841000,0.687100,0.253800,0.368800,1.318000,0.458100,0.245900
META,2026-05-15,0.794000,0.714000,0.066700,0.124000,0.049700,0.852000,0.044500,0.033100
GOOGL,2026-05-15,0.690000,0.755000,-0.031600,-0.051300,-0.002300,0.768000,-0.030900,0.000200
AMZN,2026-05-15,0.597000,0.435000,0.036000,-0.093200,-0.037300,0.530000,0.053200,0.029500
TSLA,2026-05-15,2.773000,3.675000,-0.106400,-0.035000,-0.059100,1.470000,-0.053200,-0.029600
JPM,2026-05-15,0.421000,0.507000,0.011800,-0.253100,-0.299500,0.593000,0.005900,-0.149700
V,2026-05-15,2.375000,1.973000,-0.011800,0.253100,0.299500,1.407000,-0.005900,0.149800
NFLX,2026-05-15,1.703000,1.737000,-0.020400,-0.106500,-0.050100,1.380000,-0.013600,-0.033400
AAPL,2026-05-22,0.754000,0.734000,-0.418100,-0.233200,0.048700,0.822000,-0.278800,0.032500
MSFT,2026-05-22,0.943000,0.803000,-0.176800,0.027900,-0.266200,0.861000,-0.181800,-0.271800
NVDA,2026-05-22,1.566000,1.841000,0.690800,0.253200,0.359100,1.318000,0.460500,0.239400
META,2026-05-22,0.794000,0.714000,0.076500,0.120800,0.046100,0.852000,0.051000,0.030700
