ticker,snapshot_date,earnings_date,eps_estimate,eps_actual,eps_surprise_pct,revenue_estimate,revenue_actual,revenue_surprise_pct,guidance_direction,earnings_sentiment,management_confidence
MSFT,2026-01-12,2026-01-07,12.039000,13.546000,0.091500,64742035577,65680795093,0.014500,up,0.915000,0.824000
NVDA,2026-01-12,2025-10-15,2.941000,2.901000,-0.013400,35874951923,35555664851,-0.008900,flat,0.456000,0.529000
META,2026-01-12,2026-01-07,21.562000,22.020000,-0.000900,42210067308,43024721607,0.019300,flat,0.360000,0.518000
GOOGL,2026-01-12,2025-11-26,8.025000,7.242000,-0.099200,89114879808,86022593478,-0.034700,down,0.051000,0.249000
AMZN,2026-01-12,2025-10-15,5.060000,5.624000,0.094200,161687910577,170871783898,0.056800,up,0.896000,0.878000
TSLA,2026-01-12,2025-11-26,2.105000,2.184000,0.070500,24452947837,24995803279,0.022200,up,0.701000,0.675000
JPM,2026-01-12,2025-12-17,19.735000,20.088000,0.017100,45053277692,45404693258,0.007800,flat,0.463000,0.672000
V,2026-01-12,2025-12-10,9.884000,9.671000,-0.006100,9126726923,9111211487,-0.001700,flat,0.491000,0.465000
NFLX,2026-01-12,2025-10-15,19.959000,20.227000,0.020000,9935193750,9990830835,0.005600,flat,0.567000,0.751000
AAPL,2026-01-16,2026-01-14,6.830000,7.596000,0.089800,98581626923,102416452210,0.038900,up,0.803000,0.544000
MSFT,2026-01-16,2026-01-07,11.978000,11.822000,-0.047400,64916538462,64520547577,-0.006100,down,0.372000,0.298000
NVDA,2026-01-16,2026-01-14,3.029000,3.029000,0.030400,36161048077,36048948828,-0.003100,flat,0.511000,0.564000
META,2026-01-16,2026-01-07,22.038000,22.201000,0.007300,42416325000,43078019670,0.015600,flat,0.734000,0.381000
GOOGL,2026-01-16,2025-11-26,8.062000,7.951000,-0.011100,89299807692,89058698212,-0.002700,flat,0.496000,0.411000
AMZN,2026-01-16,2026-01-14,5.159000,5.102000,-0.007400,162069176923,164095041635,0.012500,flat,0.481000,0.646000
TSLA,2026-01-16,2025-11-26,2.012000,2.111000,0.034700,24454685769,24457131238,0.000100,flat,0.691000,0.607000
JPM,2026-01-16,2025-12-17,20.189000,22.681000,0.148400,45132258462,48115500746,0.066100,up,1,1
V,2026-01-16,2025-12-10,9.616000,10.127000,0.040800,9146630769,9335051363,0.020600,flat,0.774000,0.558000
NFLX,2026-01-16,2026-01-14,18.981000,19.538000,-0.014700,9974850000,10011756945,0.003700,flat,0.519000,0.453000
AAPL,2026-01-26,2026-01-14,7.064000,6.891000,-0.011300,98690655769,99588740737,0.009100,flat,0.409000,0.284000
MSFT,2026-01-26,2026-01-07,12.397000,13.161000,0.060500,65016673077,65673341475,0.010100,up,0.726000,0.728000
NVDA,2026-01-26,2026-01-14,2.976000,3.224000,0.096500,36846424038,39215649104,0.064300,up,0.957000,0.712000
META,2026-01-26,2026-01-07,22.220000,22.364000,0.014700,42571334615,43090704898,0.012200,flat,0.590000,0.359000
GOOGL,2026-01-26,2025-11-26,7.907000,8.162000,0.015200,89589903846,90987506346,0.015600,flat,0.634000,0.547000
AMZN,2026-01-26,2026-01-14,5.033000,5.138000,-0.000300,162238492308,164785636637,0.015700,flat,0.580000,0.390000
TSLA,2026-01-26,2025-11-26,2.080000,2.057000,0.008500,24459664712,24674909761,0.008800,flat,0.508000,0.467000
JPM,2026-01-26,2025-12-17,20.202000,20.293000,0.027500,45188441538,46779074681,0.035200,flat,0.578000,0.540000
V,2026-01-26,2025-12-10,9.948000,10.212000,0.049500,9166050000,9245794635,0.008700,up,0.507000,0.548000
NFLX,2026-01-26,2026-01-14,20.268000,19.991000,0.008100,10001606250,10154630826,0.015300,flat,0.451000,0.510000
AAPL,2026-02-02,2026-01-14,6.694000,6.854000,-0.016600,98851567308,98367194628,-0.004900,flat,0.394000,0.381000
MSFT,2026-02-02,2026-01-07,12.534000,11.540000,-0.070100,65209615385,62112158654,-0.047500,down,0.300000,0.243000
NVDA,2026-02-02,2026-01-14,3.015000,3.033000,0.031500,37218223558,37649954951,0.011600,flat,0.631000,0.579000
META,2026-02-02,2026-01-07,22.649000,22.979000,0.042600,42686168269,43996633635,0.030700,flat,0.610000,0.617000
GOOGL,2026-02-02,2025-11-26,8.384000,8.809000,0.095600,89951682692,94503237837,0.050600,up,0.988000,0.831000
AMZN,2026-02-02,2026-01-14,5.190000,5.562000,0.082100,162662394231,166631356650,0.024400,up,0.801000,0.714000
TSLA,2026-02-02,2025-11-26,2.021000,2.074000,0.016700,24466334615,24197204935,-0.011000,flat,0.596000,0.412000
JPM,2026-02-02,2025-12-17,19.664000,21.012000,0.063900,45301661538,46841918031,0.034000,up,0.853000,0.805000
V,2026-02-02,2025-12-10,9.819000,10.178000,0.046000,9185192308,9165903404,-0.002100,up,0.687000,0.773000
NFLX,2026-02-02,2026-01-14,19.541000,20.669000,0.042300,10019062500,10217439938,0.019800,flat,0.593000,0.575000
AAPL,2026-02-09,2026-01-14,6.974000,6.670000,-0.043100,98926571635,95938989171,-0.030200,down,0.313000,0.278000
MSFT,2026-02-09,2026-01-07,12.336000,12.681000,0.021800,65398039423,65568074326,0.002600,flat,0.420000,0.339000
NVDA,2026-02-09,2026-01-14,2.982000,3.149000,0.071000,37372502163,37690168432,0.008500,up,0.847000,0.937000
META,2026-02-09,2026-01-07,21.664000,22.254000,0.009700,42870993510,43385445432,0.012000,flat,0.484000,0.339000
GOOGL,2026-02-09,2025-11-26,8.131000,8.205000,0.020500,90048774038,91381495894,0.014800,flat,0.473000,0.603000
AMZN,2026-02-09,2026-01-14,5.183000,4.941000,-0.038800,162890908654,159225863209,-0.022500,down,0.395000,0.281000
TSLA,2026-02-09,2025-11-26,2.022000,2.092000,0.025400,24465817933,24365508079,-0.004100,flat,0.662000,0.518000
JPM,2026-02-09,2025-12-17,19.983000,20.262000,0.025900,45329838462,45991654103,0.014600,flat,0.661000,0.510000
V,2026-02-09,2025-12-10,9.779000,9.521000,-0.021500,9203711538,9077620690,-0.013700,down,0.407000,0.600000
NFLX,2026-02-09,2026-01-14,19.703000,19.818000,-0.000600,10053806250,10175457306,0.012100,flat,0.466000,0.509000
AAPL,2026-02-13,2026-01-14,7.242000,7.291000,0.046100,99010975000,101169414255,0.021800,up,0.600000,0.672000
MSFT,2026-02-13,2026-01-07,12.942000,12.200000,-0.016900,65624807692,65637932654,0.000200,flat,0.369000,0.505000
NVDA,2026-02-13,2026-01-14,2.940000,2.841000,-0.033600,38219685577,37275659343,-0.024700,down,0.272000,0.334000
META,2026-02-13,2026-01-07,22.069000,22.214000,0.007900,43117980769,42725607144,-0.009100,flat,0.338000,0.607000
GOOGL,2026-02-13,2025-11-26,7.920000,8.162000,0.015200,90234038462,91046144808,0.009000,flat,0.610000,0.343000
AMZN,2026-02-13,2026-01-14,5.265000,4.943000,-0.038300,163431061538,161780407817,-0.010100,down,0.326000,0.338000
TSLA,2026-02-13,2025-11-26,1.994000,2.151000,0.054300,24475165192,25020961376,0.022300,up,0.689000,0.739000
JPM,2026-02-13,2025-12-17,19.779000,21.506000,0.088900,45455353846,46773559108,0.029000,up,0.756000,0.731000
V,2026-02-13,2025-12-10,9.923000,9.693000,-0.003800,9217661538,9259141015,0.004500,flat,0.546000,0.437000
NFLX,2026-02-13,2026-01-14,19.554000,22.961000,0.157900,10079625000,10770079312,0.068500,up,1,1
AAPL,2026-02-23,2026-01-14,7.022000,7.614000,0.092400,99196700000,102261878030,0.030900,up,0.898000,0.600000
MSFT,2026-02-23,2026-01-07,12.137000,11.963000,-0.036000,65741550000,64913206470,-0.012600,down,0.371000,0.232000
NVDA,2026-02-23,2026-01-14,2.946000,2.768000,-0.058400,38595375000,37445232825,-0.029800,down,0.273000,0.111000
META,2026-02-23,2026-01-07,22.303000,22.117000,0.003500,43212093750,43570754128,0.008300,flat,0.527000,0.636000
GOOGL,2026-02-23,2025-11-26,7.849000,7.874000,-0.020700,90632500000,88357624250,-0.025100,down,0.373000,0.552000
AMZN,2026-02-23,2026-01-14,5.226000,5.202000,0.012100,163654975000,163196741070,-0.002800,flat,0.527000,0.714000
TSLA,2026-02-23,2025-11-26,2.014000,2.055000,0.007200,24478124375,23907784077,-0.023300,flat,0.510000,0.659000
JPM,2026-02-23,2025-12-17,19.889000,19.942000,0.009700,45601020000,45154130004,-0.009800,flat,0.548000,0.489000
V,2026-02-23,2025-12-10,9.512000,8.389000,-0.137800,9247275000,8775663975,-0.051000,down,0,0.251000
NFLX,2026-02-23,2026-01-14,19.971000,20.177000,0.017500,10112943750,10321270391,0.020600,flat,0.446000,0.480000
AAPL,2026-03-02,2026-01-14,6.957000,7.365000,0.056700,99265876923,100923617068,0.016700,up,0.909000,0.646000
MSFT,2026-03-02,2026-01-07,12.717000,12.099000,-0.025100,66037069231,64914439054,-0.017000,down,0.442000,0.523000
NVDA,2026-03-02,2026-01-14,2.852000,3.053000,0.038600,39057269712,39479088224,0.010800,flat,0.640000,0.691000
META,2026-03-02,2026-01-07,21.547000,22.476000,0.019800,43449037019,44304983049,0.019700,flat,0.604000,0.302000
GOOGL,2026-03-02,2026-02-25,8.174000,8.150000,0.013700,90939423077,92348984135,0.015500,flat,0.497000,0.716000
AMZN,2026-03-02,2026-01-14,5.036000,5.025000,-0.022400,163807113462,163872636307,0.000400,down,0.383000,0.394000
TSLA,2026-03-02,2026-02-25,2.075000,1.994000,-0.022600,24480895673,24263015702,-0.008900,down,0.339000,0.304000
JPM,2026-03-02,2025-12-17,20.456000,18.782000,-0.049000,45679061538,44527949188,-0.025200,down,0.359000,0.264000
V,2026-03-02,2025-12-10,9.511000,10.915000,0.121800,9257088462,9688468784,0.046600,up,0.987000,0.957000
NFLX,2026-03-02,2026-01-14,20.101000,21.508000,0.084600,10135350000,10508330880,0.036800,up,0.771000,0.594000
AAPL,2026-03-09,2026-01-14,6.838000,7.263000,0.042100,99433367788,102754442273,0.033400,flat,0.654000,0.698000
MSFT,2026-03-09,2026-01-07,12.756000,12.971000,0.045200,66115711538,67259513348,0.017300,up,0.688000,0.709000
NVDA,2026-03-09,2026-01-14,2.959000,3.113000,0.058700,39344495192,41284178805,0.049300,up,0.579000,0.705000
META,2026-03-09,2026-01-07,22.653000,21.169000,-0.039500,43808406250,42862144675,-0.021600,down,0.362000,0.472000
GOOGL,2026-03-09,2026-02-25,8.173000,8.243000,0.025300,90968028846,93460552837,0.027400,flat,0.600000,0.491000
AMZN,2026-03-09,2026-01-14,5.157000,5.272000,0.025600,164363216346,165267214036,0.005500,flat,0.618000,0.434000
TSLA,2026-03-09,2026-02-25,2.073000,2.182000,0.069700,24488411058,25296528623,0.033000,up,0.743000,0.721000
JPM,2026-03-09,2025-12-17,20.259000,21.405000,0.083800,45670523077,47716562511,0.044800,up,0.856000,0.720000
V,2026-03-09,2025-12-10,9.542000,9.635000,-0.009800,9269221154,9198775073,-0.007600,flat,0.565000,0.598000
NFLX,2026-03-09,2026-01-14,19.508000,20.734000,0.045600,10183687500,10414857206,0.022700,up,0.715000,0.715000
AAPL,2026-03-16,2026-01-14,7.016000,6.802000,-0.024100,99467392308,99716060788,0.002500,down,0.419000,0.506000
MSFT,2026-03-16,2026-01-07,12.405000,11.400000,-0.081400,66506969231,63946450915,-0.038500,down,0.107000,0.203000
NVDA,2026-03-16,2026-01-14,2.937000,2.978000,0.012800,40070526923,40699634196,0.015700,flat,0.586000,0.426000
META,2026-03-16,2026-01-07,22.609000,20.887000,-0.052300,43788634615,43398915767,-0.008900,down,0.299000,0.307000
GOOGL,2026-03-16,2026-02-25,8.013000,7.643000,-0.049400,91382307692,89801393769,-0.017300,down,0.248000,0.294000
AMZN,2026-03-16,2026-01-14,5.133000,5.243000,0.020100,164839569231,166883579889,0.012400,flat,0.680000,0.630000
TSLA,2026-03-16,2026-02-25,2.130000,2.261000,0.108400,24488880769,25693733703,0.049200,up,0.973000,0.661000
JPM,2026-03-16,2025-12-17,19.973000,19.361000,-0.019700,45798941538,44901282284,-0.019600,flat,0.387000,0.360000
V,2026-03-16,2026-03-11,9.722000,10.714000,0.101100,9293261538,9705882351,0.044400,up,0.909000,0.917000
NFLX,2026-03-16,2026-01-14,20.530000,19.868000,0.001900,10206600000,10060645620,-0.014300,flat,0.666000,0.507000
AAPL,2026-03-23,2026-01-14,6.994000,7.152000,0.026100,99600294712,100715818012,0.011200,flat,0.622000,0.556000
MSFT,2026-03-23,2026-01-07,12.533000,13.717000,0.105300,66501840385,72107945529,0.084300,up,0.898000,0.765000
NVDA,2026-03-23,2026-01-14,2.947000,3.218000,0.094400,40772654567,41906134364,0.027800,up,0.929000,0.953000
META,2026-03-23,2026-01-07,21.221000,22.293000,0.011500,43968556490,44113652727,0.003300,flat,0.533000,0.499000
GOOGL,2026-03-23,2026-02-25,8.114000,8.353000,0.038900,91859519231,92759742519,0.009800,flat,0.567000,0.680000
AMZN,2026-03-23,2026-01-14,5.240000,5.422000,0.054900,165298438462,169050713015,0.022700,up,0.852000,0.734000
TSLA,2026-03-23,2026-02-25,2.152000,2.169000,0.063100,24497664375,24906775370,0.016700,up,0.794000,0.663000
JPM,2026-03-23,2026-03-18,19.468000,19.955000,0.010400,45916857692,45889307578,-0.000600,flat,0.533000,0.566000
V,2026-03-23,2026-03-11,10.002000,9.139000,-0.060700,9296584615,8955399960,-0.036700,down,0.267000,0.411000
NFLX,2026-03-23,2026-01-14,19.526000,20.084000,0.012800,10257768750,10477285001,0.021400,flat,0.534000,0.563000
AAPL,2026-03-30,2026-01-14,6.988000,6.863000,-0.015300,99780192308,98163753192,-0.016200,flat,0.411000,0.467000
MSFT,2026-03-30,2026-01-07,12.271000,13.192000,0.063000,66808105769,69720939181,0.043600,up,0.812000,0.864000
NVDA,2026-03-30,2026-01-14,2.990000,3.312000,0.126700,40905225000,42578248703,0.040900,up,1,1
META,2026-03-30,2026-01-07,22.392000,20.984000,-0.047900,44208425962,42966169192,-0.028100,down,0.278000,0.316000
GOOGL,2026-03-30,2026-02-25,8.024000,9.024000,0.122400,92067500000,95326689500,0.035400,up,0.984000,0.958000
AMZN,2026-03-30,2026-01-14,5.067000,4.870000,-0.052600,165490451923,161369739670,-0.024900,down,0.295000,0.407000
TSLA,2026-03-30,2026-02-25,2.014000,2.161000,0.059200,24496865865,25204825289,0.028900,up,0.714000,0.670000
JPM,2026-03-30,2026-03-18,19.896000,20.641000,0.045100,46076783077,46648135187,0.012400,up,0.777000,0.625000
V,2026-03-30,2026-03-11,9.607000,9.727000,-0.000300,9331788462,9520290588,0.020200,flat,0.457000,0.523000
NFLX,2026-03-30,2026-01-14,20.509000,20.996000,0.058800,10267050000,10580195025,0.030500,up,0.614000,0.803000
AAPL,2026-04-06,2026-01-14,6.955000,6.842000,-0.018400,99903695673,97795727694,-0.021100,flat,0.508000,0.439000
MSFT,2026-04-06,2026-01-07,12.381000,12.303000,-0.008600,67026692308,66423452077,-0.009000,flat,0.591000,0.462000
NVDA,2026-04-06,2026-01-14,2.857000,3.092000,0.051800,41967231490,43637527304,0.039800,up,0.708000,0.579000
META,2026-04-06,2026-01-07,21.401000,22.280000,0.010900,44262521154,44749408887,0.011000,flat,0.513000,0.474000
GOOGL,2026-04-06,2026-02-25,8.031000,7.976000,-0.007900,92190168269,92411424673,0.002400,flat,0.487000,0.546000
AMZN,2026-04-06,2026-01-14,5.139000,5.125000,-0.003000,165595967308,164486474327,-0.006700,flat,0.693000,0.484000
TSLA,2026-04-06,2026-02-25,2.047000,2.009000,-0.015100,24507998029,24194295654,-0.012800,flat,0.383000,0.705000
JPM,2026-04-06,2026-03-18,19.795000,19.483000,-0.013500,46019063077,46566689928,0.011900,flat,0.293000,0.428000
V,2026-04-06,2026-03-11,9.746000,9.982000,0.025900,9323913462,9610157605,0.030700,flat,0.509000,0.643000
NFLX,2026-04-06,2026-01-14,20.325000,20.986000,0.058300,10301831250,10607795638,0.029700,up,0.726000,0.799000
AAPL,2026-04-13,2026-01-14,6.926000,7.065000,0.013700,100047125000,100447313500,0.004000,flat,0.618000,0.565000
MSFT,2026-04-13,2026-04-08,12.341000,13.594000,0.095400,67121942308,70652556473,0.052600,up,0.868000,0.803000
NVDA,2026-04-13,2026-01-14,2.964000,2.997000,0.019300,42525432692,43541790534,0.023900,flat,0.623000,0.607000
META,2026-04-13,2026-04-08,22.582000,23.080000,0.047200,44568427885,44506032086,-0.001400,up,0.603000,0.712000
GOOGL,2026-04-13,2026-02-25,8.179000,7.743000,-0.037000,92739903846,92062902548,-0.007300,down,0.315000,0.254000
AMZN,2026-04-13,2026-01-14,5.274000,4.869000,-0.052800,166174461538,160109093692,-0.036500,down,0.287000,0.414000
TSLA,2026-04-13,2026-02-25,2.091000,2.109000,0.034000,24508608654,24812515401,0.012400,flat,0.648000,0.480000
JPM,2026-04-13,2026-03-18,19.530000,18.895000,-0.043300,46164046154,45776268166,-0.008400,down,0.289000,0.432000
V,2026-04-13,2026-03-11,9.963000,9.810000,0.008200,9343038462,9384147831,0.004400,flat,0.497000,0.503000
NFLX,2026-04-13,2026-01-14,20.082000,19.584000,-0.012400,10329000000,10061478900,-0.025900,flat,0.541000,0.444000
AAPL,2026-04-20,2026-04-15,7.041000,7.242000,0.039000,100244880769,102470317122,0.022200,flat,0.779000,0.585000
MSFT,2026-04-20,2026-04-08,12.774000,12.458000,0.003900,67362021154,67550634813,0.002800,flat,0.562000,0.476000
NVDA,2026-04-20,2026-04-15,2.875000,2.879000,-0.020600,43282646394,43304287717,0.000500,down,0.410000,0.330000
META,2026-04-20,2026-04-08,22.994000,22.230000,0.008600,44782119712,44625382293,-0.003500,flat,0.642000,0.474000
GOOGL,2026-04-20,2026-02-25,8.063000,7.710000,-0.041100,92867620192,90945260454,-0.020700,down,0.339000,0.372000
AMZN,2026-04-20,2026-04-15,5.066000,5.627000,0.094700,166643452885,178658445838,0.072100,up,0.698000,0.880000
TSLA,2026-04-20,2026-02-25,1.985000,2.144000,0.051200,24516734663,25276753438,0.031000,up,0.545000,0.439000
JPM,2026-04-20,2026-03-18,20.219000,20.639000,0.045000,46261213846,47163307516,0.019500,flat,0.680000,0.754000
V,2026-04-20,2026-03-11,9.669000,10.072000,0.035100,9358009615,9621905487,0.028200,flat,0.521000,0.580000
NFLX,2026-04-20,2026-04-15,20.528000,17.952000,-0.094700,10365037500,9953545511,-0.039700,down,0.210000,0.192000
AAPL,2026-04-27,2026-04-15,7.212000,7.503000,0.076400,100388498077,102325996090,0.019300,up,0.773000,0.786000
MSFT,2026-04-27,2026-04-08,12.405000,12.709000,0.024100,67613090385,67903826673,0.004300,flat,0.453000,0.589000
NVDA,2026-04-27,2026-04-15,2.914000,3.248000,0.104600,43827421154,46535955781,0.061800,up,1,0.893000
META,2026-04-27,2026-04-08,22.023000,22.188000,0.006700,45081541346,45185228891,0.002300,flat,0.575000,0.546000
GOOGL,2026-04-27,2026-02-25,7.939000,8.467000,0.053100,93093605769,95998126269,0.031200,up,0.725000,0.679000
