ticker,snapshot_date,pe_ratio,forward_pe,peg_ratio,price_to_sales,price_to_book,ev_ebitda,ev_sales,fcf_yield,earnings_yield,revenue,revenue_growth_yoy,ebitda,ebitda_growth_yoy,eps,eps_growth_yoy,fcf,fcf_growth_yoy,gross_margin,operating_margin,net_margin,roe,roa,roic,cash,total_debt,net_debt,debt_to_equity,net_debt_ebitda,current_ratio,quick_ratio,interest_coverage
AAPL,2025-12-01,33.360000,30.400000,4.080000,9.520000,53.460000,23.550000,9.890000,0.027470,0.029590,391424836538,0.056500,131910169913,0.064400,6.980000,0.073800,103336156846,0.059900,0.459200,0.306200,0.234700,1.517500,0.247400,0.564600,70456470577,679702470577,609246000000,1.717800,4.619000,0.848000,0.681000,6.090000
MSFT,2025-12-01,35.700000,28.110000,1.740000,12.410000,10.560000,22.710000,12.420000,0.021400,0.028250,254698011538,0.142900,136263436173,0.163800,12.451000,0.170000,64438596919,0.158500,0.685900,0.428900,0.351500,0.341600,0.178200,0.278900,45845642077,140291642077,94446000000,0.311000,0.693000,1.324000,1.084000,33.950000
NVDA,2025-12-01,53.710000,34.130000,0.340000,25.590000,43.070000,40.090000,26.150000,0.017970,0.018450,132377945192,0.748300,83927617252,0.839000,2.997000,1.003100,61158610679,0.793600,0.745100,0.595700,0.536900,0.909000,0.639500,0.760600,23828030135,62906030135,39078000000,0.123200,0.466000,4.050000,3.273000,82.110000
META,2025-12-01,27.410000,24.210000,0.850000,8.750000,8.880000,17.520000,9.200000,0.036850,0.036630,165152305769,0.206200,87695874363,0.230800,22.156000,0.273700,53509347069,0.219800,0.801700,0.409300,0.363700,0.363400,0.228800,0.295100,29727415038,66663415038,36936000000,0.265400,0.421000,2.851000,2.379000,41.640000
GOOGL,2025-12-01,24.960000,21.190000,1.180000,6.760000,7.090000,17.130000,7.170000,0.030300,0.040650,350847403846,0.125900,143145740769,0.157600,8.068000,0.179100,72625412596,0.133000,0.575500,0.311100,0.281400,0.292800,0.204000,0.254400,63152532692,81863532692,18711000000,0.084900,0.131000,1.794000,1.440000,127.990000
AMZN,2025-12-01,43.910000,31.480000,2.510000,3.400000,8.530000,19.910000,3.930000,0.014910,0.023420,639225696154,0.099900,104833014169,0.118000,5.153000,0.128900,37075090377,0.110700,0.477900,0.107400,0.089600,0.206300,0.086700,0.135300,115060625308,226354625308,111294000000,0.526400,1.062000,1.046000,0.848000,21.280000
TSLA,2025-12-01,124.810000,94.240000,88.560000,13.620000,16.960000,70.800000,13.510000,0.002630,0.008450,97716721731,0.008900,13191757434,0.010000,2.040000,0.010400,3615518704,0.008700,0.175000,0.071800,0.070500,0.099900,0.059900,0.077900,17589009912,38487009912,20898000000,0.175800,1.584000,1.964000,1.593000,64.890000
JPM,2025-12-01,12.340000,13.030000,0.890000,3.870000,2.230000,10.830000,4.080000,0.052650,0.078130,177991061538,0.114500,71552406738,0.138000,19.809000,0.155400,32750355323,0.124800,0.607500,0.411400,0.328500,0.174300,0.014000,0.111300,32038391077,113059991077,81021600000,1.332800,1.132000,1.101000,0.907000,8.950000
V,2025-12-01,27.930000,26.830000,1.740000,16.970000,14.530000,20.390000,16.420000,0.031460,0.032890,36073038462,0.105500,25323273000,0.134300,9.759000,0.153800,18469395692,0.144400,0.806100,0.678500,0.554100,0.530700,0.208900,0.437100,6493146923,34583946923,28090800000,0.527800,1.109000,1.305000,1.078000,25.120000
NFLX,2025-12-01,46.330000,36.040000,1.740000,9.850000,15.420000,31.700000,10.630000,0.018390,0.022620,39109500000,0.146000,11107098000,0.173600,19.906000,0.198400,6805053000,0.149400,0.449700,0.259400,0.216400,0.349600,0.138800,0.232400,7039710000,32052510000,25012800000,0.697200,2.252000,1.185000,0.968000,15.380000
AAPL,2025-12-08,32.690000,30.040000,3.970000,9.220000,54.040000,23.860000,8.760000,0.028760,0.029590,391843657692,0.056100,132051312642,0.069600,6.990000,0.075900,103446725631,0.055100,0.457800,0.310700,0.234900,1.484900,0.248300,0.560100,70531858385,679777858385,609246000000,1.759300,4.614000,0.852000,0.681000,5.730000
MSFT,2025-12-08,36.730000,29.580000,1.560000,11.490000,10.480000,22.460000,13.850000,0.019310,0.028250,255377461538,0.141000,136626941923,0.166000,12.500000,0.189400,64610497769,0.144600,0.687100,0.440400,0.347700,0.339700,0.177500,0.268400,45967943077,140413943077,94446000000,0.318300,0.691000,1.330000,1.082000,32.450000
NVDA,2025-12-08,50.920000,35.190000,0.380000,24.810000,45.440000,42.960000,26.650000,0.017500,0.018450,134231296154,0.743400,85102641762,0.846800,3.039000,0.875400,62014858823,0.653400,0.737900,0.608200,0.542500,0.872300,0.628900,0.763600,24161633308,63239633308,39078000000,0.121600,0.459000,4.058000,3.348000,87.260000
META,2025-12-08,28.180000,25.530000,0.830000,9.350000,8.790000,16.830000,10.200000,0.033650,0.036630,165820428846,0.208700,88050647717,0.235400,22.280000,0.283400,53725818946,0.201900,0.797000,0.412700,0.362800,0.359800,0.225200,0.296500,29847677192,66783677192,36936000000,0.260100,0.419000,2.880000,2.358000,42.890000
GOOGL,2025-12-08,23.930000,20.970000,1.290000,6.450000,8.020000,17.050000,7.380000,0.031830,0.040650,351706923077,0.126800,143496424615,0.151900,8.091000,0.164900,72803333077,0.153400,0.569300,0.313100,0.281200,0.303700,0.201300,0.261500,63307246154,82018246154,18711000000,0.087500,0.130000,1.785000,1.456000,116.750000
AMZN,2025-12-08,42.580000,30.940000,2.590000,3.560000,7.750000,19,3.870000,0.016260,0.023420,640473476923,0.100800,105037650215,0.128200,5.165000,0.125300,37147461662,0.109400,0.482000,0.106400,0.087600,0.201000,0.084800,0.138800,115285225846,226579225846,111294000000,0.524500,1.060000,1.033000,0.853000,20.760000
TSLA,2025-12-08,124.440000,93.010000,83.730000,12.700000,18.210000,75.570000,14.750000,0.002760,0.008450,97731940385,0.008500,13193811952,0.009600,2.041000,0.011000,3616081794,0.008600,0.173200,0.069800,0.070300,0.099400,0.059900,0.078400,17591749269,38489749269,20898000000,0.172600,1.584000,1.984000,1.611000,63.130000
JPM,2025-12-08,12.700000,14.090000,0.900000,4.040000,2.020000,11.520000,3.860000,0.049600,0.078130,178378024615,0.113900,71707965895,0.132800,19.867000,0.153700,32821556529,0.127800,0.609100,0.412700,0.317900,0.174800,0.013800,0.112500,32108044431,113129644431,81021600000,1.351500,1.130000,1.131000,0.931000,8.700000
V,2025-12-08,30.310000,26.180000,1.730000,16.060000,15.030000,21.460000,17.050000,0.028570,0.032890,36153692308,0.111000,25379892000,0.131400,9.788000,0.155100,18510690462,0.127500,0.804200,0.672600,0.559700,0.526900,0.214000,0.430900,6507664615,34598464615,28090800000,0.535700,1.107000,1.325000,1.079000,25.570000
NFLX,2025-12-08,41.460000,35.580000,1.770000,9.180000,17.360000,28.830000,10.590000,0.017300,0.022620,39227250000,0.151500,11140539000,0.161400,19.979000,0.195500,6825541500,0.142200,0.452700,0.258200,0.218400,0.348900,0.139200,0.235300,7060905000,32073705000,25012800000,0.689700,2.245000,1.148000,0.974000,15.470000
AAPL,2025-12-15,34.280000,30.500000,4.340000,8.340000,51.210000,23.990000,10.080000,0.029960,0.029590,392319625000,0.058500,132211713625,0.063100,6.998000,0.069300,103572381000,0.057000,0.454300,0.309200,0.229600,1.502700,0.251400,0.565000,70617532500,679863532500,609246000000,1.797000,4.608000,0.840000,0.683000,5.900000
MSFT,2025-12-15,34.520000,27.480000,1.630000,11.770000,11.040000,20.390000,12.410000,0.019440,0.028250,256146788462,0.146500,137038531827,0.175000,12.540000,0.181300,64805137481,0.150600,0.686300,0.436700,0.345400,0.340800,0.178700,0.273800,46106421923,140552421923,94446000000,0.320300,0.689000,1.319000,1.057000,32.800000
NVDA,2025-12-15,52.470000,32.970000,0.400000,27.770000,44.170000,45.100000,24.990000,0.019790,0.018450,135944861538,0.723200,86189042215,0.830400,3.082000,0.836400,62806526031,0.696600,0.740200,0.615700,0.530800,0.869500,0.634800,0.747600,24470075077,63548075077,39078000000,0.126300,0.453000,4.111000,3.276000,89.040000
META,2025-12-15,27.050000,22.650000,0.960000,9.080000,7.890000,17.490000,10.510000,0.036520,0.036630,166395229808,0.199700,88355867028,0.238100,22.351000,0.244700,53912054458,0.205000,0.801800,0.414400,0.363900,0.359400,0.224800,0.294100,29951141365,66887141365,36936000000,0.264000,0.418000,2.868000,2.369000,40.890000
GOOGL,2025-12-15,24.680000,21.210000,1.290000,6.880000,7.460000,17.260000,6.770000,0.033310,0.040650,352633076923,0.130400,143874295385,0.146500,8.116000,0.164700,72995046923,0.127700,0.577400,0.312900,0.274600,0.298300,0.200800,0.255000,63473953846,82184953846,18711000000,0.089700,0.130000,1.771000,1.413000,126.250000
AMZN,2025-12-15,42.430000,29.470000,2.440000,3.800000,8.090000,18.910000,3.600000,0.016600,0.023420,641798553846,0.103200,105254962831,0.122300,5.179000,0.132800,37224316123,0.109000,0.476600,0.104800,0.088300,0.198800,0.084500,0.136700,115523739692,226817739692,111294000000,0.511400,1.057000,1.007000,0.834000,20.110000
TSLA,2025-12-15,121.240000,88.890000,89.420000,13.060000,16.790000,71.470000,14.630000,0.003060,0.008450,97749601538,0.008800,13196196208,0.010000,2.041000,0.010300,3616735257,0.008200,0.173700,0.070700,0.070500,0.102500,0.059300,0.080000,17594928277,38492928277,20898000000,0.169800,1.584000,1.962000,1.608000,63.140000
JPM,2025-12-15,12.840000,14.300000,0.960000,3.900000,2.080000,11.240000,3.860000,0.047990,0.078130,178727076923,0.110000,71848284923,0.132000,19.914000,0.144300,32885782154,0.120500,0.607900,0.410600,0.328200,0.170900,0.014000,0.112100,32170873846,113192473846,81021600000,1.333600,1.128000,1.118000,0.916000,9.100000
V,2025-12-15,30.020000,27.320000,1.830000,16.350000,16.160000,22.630000,16.270000,0.030730,0.032890,36223061538,0.107400,25428589200,0.140200,9.812000,0.146300,18546207508,0.136300,0.812400,0.681200,0.573400,0.535900,0.213200,0.435400,6520151077,34610951077,28090800000,0.527500,1.105000,1.301000,1.085000,23.910000
NFLX,2025-12-15,44.660000,36.390000,1.770000,9.920000,17.430000,29.800000,10.580000,0.016590,0.022620,39311400000,0.138400,11164437600,0.174100,20.054000,0.195500,6840183600,0.139300,0.453600,0.260700,0.214800,0.349400,0.138200,0.233500,7076052000,32088852000,25012800000,0.702300,2.240000,1.187000,0.952000,16.020000
AAPL,2025-12-22,34.210000,28.950000,4.020000,8.930000,50.660000,25.310000,9.390000,0.028610,0.029590,392768523077,0.058800,132362992277,0.067300,7.010000,0.074900,103690890092,0.049600,0.449300,0.307800,0.237600,1.528500,0.247900,0.569400,70698334154,679944334154,609246000000,1.843000,4.603000,0.827000,0.683000,6.470000
MSFT,2025-12-22,36.020000,30.430000,1.830000,12.560000,10.980000,22.430000,12.850000,0.019850,0.028250,256723661538,0.139400,137347158923,0.166500,12.564000,0.161500,64951086369,0.152800,0.679400,0.436200,0.351200,0.335200,0.177400,0.274100,46210259077,140656259077,94446000000,0.322000,0.688000,1.291000,1.058000,33.590000
NVDA,2025-12-22,51.790000,34.110000,0.360000,25.260000,49.300000,48.690000,28.560000,0.019330,0.018450,137715646154,0.718800,87311719662,0.772300,3.154000,0.945300,63624628523,0.747800,0.741200,0.603000,0.538000,0.901300,0.608200,0.766500,24788816308,63866816308,39078000000,0.125100,0.448000,4.058000,3.355000,86.040000
META,2025-12-22,27.300000,24.740000,1.050000,9.010000,8.230000,17.340000,10.220000,0.034950,0.036630,166945988462,0.193300,88648319873,0.240100,22.417000,0.222300,54090500262,0.206600,0.802800,0.410100,0.367900,0.355400,0.228800,0.288800,30050277923,66986277923,36936000000,0.254900,0.417000,2.861000,2.373000,41.160000
GOOGL,2025-12-22,24.400000,20.610000,1.370000,6.710000,6.920000,17.920000,7.540000,0.032020,0.040650,353448846154,0.128100,144207129231,0.151700,8.136000,0.155300,73163911154,0.149900,0.572600,0.312300,0.282700,0.302100,0.205700,0.254700,63620792308,82331792308,18711000000,0.087300,0.130000,1.778000,1.460000,117.360000
AMZN,2025-12-22,42.830000,33.110000,2.520000,3.650000,7.900000,20.150000,3.780000,0.016650,0.023420,642681938462,0.095400,105399837908,0.122800,5.191000,0.128800,37275552431,0.093600,0.482800,0.104800,0.089200,0.197100,0.084700,0.135100,115682748923,226976748923,111294000000,0.518200,1.056000,1.033000,0.841000,21.200000
TSLA,2025-12-22,123.610000,85.630000,90.290000,12.520000,17.890000,63.690000,12.760000,0.002720,0.008450,97762377692,0.008300,13197920988,0.010000,2.042000,0.010200,3617207975,0.008700,0.174000,0.072100,0.070200,0.101400,0.059800,0.078300,17597227985,38495227985,20898000000,0.178700,1.583000,1.947000,1.637000,59.520000
JPM,2025-12-22,14.490000,14.190000,0.980000,3.960000,2.170000,11.590000,4.100000,0.047770,0.078130,179112332308,0.110700,72003157588,0.135600,19.966000,0.142100,32956669145,0.129700,0.605600,0.406900,0.325800,0.166800,0.013800,0.110800,32240219815,113261819815,81021600000,1.285300,1.125000,1.099000,0.904000,8.910000
V,2025-12-22,32.550000,27.350000,1.660000,17.010000,13.640000,21.290000,17.610000,0.030410,0.032890,36300184615,0.108400,25482729600,0.135700,9.851000,0.161600,18585694523,0.133500,0.807900,0.688100,0.561700,0.533800,0.210500,0.443400,6534033231,34624833231,28090800000,0.540500,1.102000,1.310000,1.083000,24.690000
NFLX,2025-12-22,46.270000,34.720000,2.100000,10.190000,16.310000,31.020000,9.900000,0.018630,0.022620,39465300000,0.155100,11208145200,0.160300,20.082000,0.165100,6866962200,0.164600,0.451600,0.261500,0.211800,0.343600,0.136300,0.234600,7103754000,32116554000,25012800000,0.706400,2.232000,1.193000,0.978000,14.960000
AAPL,2025-12-29,33.420000,29.740000,3.850000,9.250000,50.460000,25.750000,9.060000,0.028180,0.029590,393105384615,0.056000,132476514615,0.066400,7.022000,0.078200,103779821538,0.056600,0.453800,0.308800,0.232000,1.495500,0.238800,0.567700,70758969231,680004969231,609246000000,1.807300,4.599000,0.852000,0.698000,5.830000
MSFT,2025-12-29,35.880000,27.350000,1.660000,12.680000,11.410000,21.460000,12.460000,0.020180,0.028250,257499826923,0.143300,137762407404,0.156500,12.622000,0.177800,65147456212,0.163000,0.684900,0.440600,0.349400,0.341400,0.176400,0.270400,46349968846,140795968846,94446000000,0.316300,0.686000,1.296000,1.060000,34.800000
NVDA,2025-12-29,56.710000,32.050000,0.390000,26.590000,47.720000,43.230000,26.250000,0.017630,0.018450,139379019231,0.707600,88366298192,0.774600,3.183000,0.860400,64393106885,0.705800,0.738000,0.610700,0.547500,0.876500,0.632300,0.759800,25088223462,64166223462,39078000000,0.123600,0.442000,4.085000,3.360000,82.110000
META,2025-12-29,26.510000,24.630000,0.880000,9.420000,8.660000,17.080000,9.480000,0.035000,0.036630,167759947115,0.206100,89080531918,0.240800,22.601000,0.264700,54354222865,0.201500,0.794500,0.412500,0.360500,0.363100,0.231200,0.289500,30196790481,67132790481,36936000000,0.257400,0.415000,2.900000,2.327000,41.020000
GOOGL,2025-12-29,22.950000,20.920000,1.310000,6.780000,7.510000,17.140000,7.150000,0.029270,0.040650,354432211538,0.131700,144608342308,0.156900,8.165000,0.161500,73367467788,0.152900,0.578000,0.311800,0.286800,0.302800,0.205700,0.263000,63797798077,82508798077,18711000000,0.087300,0.129000,1.824000,1.416000,122.180000
AMZN,2025-12-29,43.830000,31.990000,2.750000,3.510000,7.580000,19.780000,3.820000,0.016680,0.023420,644226634615,0.101500,105653168077,0.113500,5.198000,0.117800,37365144808,0.112400,0.488200,0.104900,0.089500,0.200800,0.084000,0.136900,115960794231,227254794231,111294000000,0.506300,1.053000,1.026000,0.847000,20.880000
TSLA,2025-12-29,106.800000,97.360000,92.100000,13.620000,18.240000,73.400000,14.090000,0.002880,0.008450,97780790385,0.008600,13200406702,0.009100,2.042000,0.009700,3617889244,0.008800,0.174100,0.069200,0.070300,0.099900,0.058900,0.078400,17600542269,38498542269,20898000000,0.170900,1.583000,1.967000,1.624000,61.380000
JPM,2025-12-29,12.430000,13.310000,0.930000,3.480000,2.150000,11.260000,4.130000,0.046300,0.078130,179345261538,0.102200,72096795138,0.125300,20.034000,0.149600,32999528123,0.108900,0.609500,0.410200,0.317500,0.169200,0.013800,0.112600,32282147077,113303747077,81021600000,1.320700,1.124000,1.110000,0.918000,8.930000
V,2025-12-29,28.370000,26.440000,1.690000,16.400000,16.160000,20.820000,18.620000,0.030630,0.032890,36387692308,0.112000,25544160000,0.132000,9.878000,0.158400,18630498462,0.117100,0.808900,0.676400,0.572000,0.543100,0.212200,0.439200,6549784615,34640584615,28090800000,0.526900,1.100000,1.340000,1.101000,25.560000
NFLX,2025-12-29,44.190000,33.280000,1.850000,9.730000,16.590000,28.820000,10.010000,0.019140,0.022620,39543375000,0.144900,11230318500,0.162200,20.187000,0.187000,6880547250,0.152000,0.451500,0.258400,0.213800,0.353500,0.138700,0.241600,7117807500,32130607500,25012800000,0.697300,2.227000,1.190000,0.953000,15.260000
AAPL,2026-01-05,36.520000,29.290000,4.190000,8.600000,51.090000,21.960000,9.550000,0.029200,0.029590,393490369231,0.055200,132606254431,0.063900,7.028000,0.071900,103881457477,0.059200,0.451000,0.305200,0.235000,1.494400,0.246500,0.559400,70828266462,680074266462,609246000000,1.787500,4.594000,0.850000,0.675000,5.930000
MSFT,2026-01-05,35.630000,29.960000,1.800000,12.560000,11.210000,24.470000,13.430000,0.022220,0.028250,258000500000,0.136500,138030267500,0.170100,12.646000,0.164500,65274126500,0.145600,0.683000,0.431400,0.352300,0.342600,0.178700,0.275500,46440090000,140886090000,94446000000,0.314700,0.684000,1.293000,1.059000,32.830000
NVDA,2026-01-05,55.350000,32.670000,0.360000,24.480000,46.360000,40.880000,26.650000,0.019050,0.018450,141844465385,0.753400,89929391054,0.833400,3.254000,0.926700,65532143008,0.747300,0.735800,0.610700,0.545900,0.866900,0.628300,0.765500,25532003769,64610003769,39078000000,0.126600,0.435000,3.985000,3.384000,85.330000
META,2026-01-05,28.380000,22.740000,0.950000,8.930000,8.310000,17.620000,9.530000,0.036260,0.036630,168525821154,0.212100,89487211033,0.216600,22.669000,0.247300,54602366054,0.208300,0.805700,0.410700,0.358200,0.360500,0.224900,0.291100,30334647808,67270647808,36936000000,0.256200,0.413000,2.831000,2.338000,41.850000
GOOGL,2026-01-05,24.140000,22.180000,1.200000,7,7.150000,18.890000,7.230000,0.034590,0.040650,355064230769,0.125400,144866206154,0.147600,8.204000,0.176400,73498295769,0.136800,0.575800,0.319700,0.278900,0.300800,0.203100,0.256900,63911561538,82622561538,18711000000,0.088500,0.129000,1.787000,1.461000,122.800000
AMZN,2026-01-05,41.710000,33.160000,2.520000,3.650000,7.880000,20.130000,3.590000,0.015590,0.023420,645854761538,0.106700,105920180892,0.115300,5.216000,0.128600,37459576169,0.106100,0.479800,0.105800,0.088900,0.196800,0.083400,0.136900,116253857077,227547857077,111294000000,0.516700,1.051000,1.016000,0.855000,20.440000
TSLA,2026-01-05,116.530000,91.210000,85.280000,13.090000,17.530000,62.720000,14.060000,0.002880,0.008450,97794693846,0.008400,13202283669,0.010100,2.043000,0.010800,3618403672,0.009200,0.176600,0.070600,0.070700,0.101400,0.059500,0.079600,17603044892,38501044892,20898000000,0.171300,1.583000,1.932000,1.568000,59.860000
JPM,2026-01-05,13.090000,13.980000,1,3.670000,2.110000,11.860000,4.040000,0.048650,0.078130,179794726154,0.107100,72277479914,0.120300,20.066000,0.138600,33082229612,0.109700,0.601000,0.407600,0.321600,0.166300,0.013700,0.109800,32363050708,113384650708,81021600000,1.288000,1.121000,1.098000,0.901000,8.880000
V,2026-01-05,29.410000,27.890000,1.690000,16.240000,16.160000,21.220000,17.560000,0.030160,0.032890,36456507692,0.109900,25592468400,0.127500,9.908000,0.158300,18665731938,0.126300,0.817600,0.680000,0.554300,0.528600,0.214700,0.428400,6562171385,34652971385,28090800000,0.540900,1.098000,1.338000,1.079000,24.900000
NFLX,2026-01-05,43.230000,32.530000,1.800000,9.570000,16.680000,29.990000,10.790000,0.018330,0.022620,39629100000,0.139800,11254664400,0.164300,20.269000,0.191700,6895463400,0.147800,0.453100,0.257300,0.215600,0.354600,0.135900,0.235900,7133238000,32146038000,25012800000,0.682300,2.222000,1.175000,0.969000,15.070000
AAPL,2026-01-12,35.050000,29.670000,4.700000,9.030000,49.470000,22.930000,10.040000,0.029140,0.029590,393958065385,0.056200,132763868035,0.064900,7.030000,0.064100,104004929262,0.063700,0.459000,0.303800,0.227700,1.546200,0.244600,0.568100,70912451769,680158451769,609246000000,1.816400,4.589000,0.834000,0.691000,6.140000
MSFT,2026-01-12,34.420000,31.570000,1.600000,12.930000,11.550000,22.230000,13.060000,0.020330,0.028250,258968142308,0.145300,138547956135,0.162100,12.719000,0.185100,65518940004,0.141200,0.681800,0.435200,0.346600,0.334500,0.180600,0.272300,46614265615,141060265615,94446000000,0.316700,0.682000,1.316000,1.063000,33.710000
NVDA,2026-01-12,54.830000,32.750000,0.360000,26.010000,44.740000,43.020000,25.510000,0.020000,0.018450,143499807692,0.740000,90978878077,0.876300,3.314000,0.943800,66296911154,0.720400,0.734400,0.608000,0.546700,0.892200,0.628800,0.745900,25829965385,64907965385,39078000000,0.124600,0.430000,3.952000,3.421000,85.670000
META,2026-01-12,27.270000,23.690000,0.870000,9.110000,9.560000,17.820000,9.030000,0.034080,0.036630,168840269231,0.196000,89654182962,0.225700,22.835000,0.267800,54704247231,0.184300,0.804900,0.400600,0.367800,0.361300,0.227000,0.291700,30391248462,67327248462,36936000000,0.258700,0.412000,2.849000,2.316000,41.040000
GOOGL,2026-01-12,23,20.750000,1.160000,6.470000,7.490000,19.020000,6.540000,0.032220,0.040650,356459519231,0.137100,145435483846,0.156800,8.237000,0.182100,73787120481,0.137800,0.570300,0.313300,0.284400,0.301400,0.205300,0.261500,64162713462,82873713462,18711000000,0.088600,0.129000,1.826000,1.485000,127.780000
AMZN,2026-01-12,44.210000,30.470000,2.430000,3.760000,8.420000,18.980000,4.170000,0.017310,0.023420,646751642308,0.101900,106067269338,0.114700,5.232000,0.133400,37511595254,0.093200,0.479000,0.105000,0.090200,0.199400,0.084300,0.134300,116415295615,227709295615,111294000000,0.523300,1.049000,1.036000,0.850000,20.530000
TSLA,2026-01-12,120.380000,89.300000,86.070000,13.420000,17.610000,80.460000,14.810000,0.002920,0.008450,97811791346,0.008500,13204591832,0.009700,2.043000,0.010700,3619036280,0.008900,0.174600,0.070700,0.071700,0.101100,0.059700,0.079600,17606122442,38504122442,20898000000,0.173500,1.583000,1.938000,1.591000,61.260000
JPM,2026-01-12,12.700000,13.620000,0.980000,3.960000,2.020000,10.980000,4.230000,0.052710,0.078130,180213110769,0.109300,72445670529,0.126100,20.126000,0.141300,33159212382,0.110100,0.607000,0.401900,0.318600,0.166900,0.013900,0.110100,32438359938,113459959938,81021600000,1.282300,1.118000,1.121000,0.901000,8.980000
V,2026-01-12,29.700000,27.650000,1.810000,17.250000,15.020000,21.860000,17.620000,0.028720,0.032890,36506907692,0.104600,25627849200,0.125900,9.924000,0.148000,18691536738,0.133700,0.811300,0.675600,0.561000,0.537900,0.212300,0.435300,6571243385,34662043385,28090800000,0.529700,1.096000,1.344000,1.072000,26.530000
NFLX,2026-01-12,45.970000,34.540000,1.730000,9.900000,15.730000,29.340000,10.410000,0.018170,0.022620,39740775000,0.141100,11286380100,0.167700,20.363000,0.199700,6914894850,0.140800,0.450800,0.257500,0.214000,0.344200,0.137500,0.236100,7153339500,32166139500,25012800000,0.699900,2.216000,1.198000,0.937000,15.170000
AAPL,2026-01-16,35.550000,30.080000,4.170000,8.540000,50.090000,24.200000,9.650000,0.027980,0.029590,394326507692,0.055300,132888033092,0.058800,7.047000,0.072200,104102198031,0.053300,0.453200,0.304700,0.236000,1.542100,0.245400,0.568600,70978771385,680224771385,609246000000,1.788600,4.585000,0.835000,0.673000,5.990000
