ticker,snapshot_date,close,return_1d,return_1w,return_1m,momentum_1w,momentum_1m,momentum_3m,momentum_6m,volatility_30d,volatility_90d,drawdown,distance_52w_high,distance_52w_low,volume_change,pe_ratio,forward_pe,ev_ebitda,price_to_sales,fcf_yield,revenue_growth_yoy,eps_growth_yoy,ebitda_growth_yoy,gross_margin,operating_margin,net_margin,roe,roa,roic,debt_to_equity,net_debt_ebitda,current_ratio,earnings_surprise,earnings_sentiment,sector_relative_pe,sector_relative_growth,sector_relative_roic,analyst_signal,news_sentiment,sp500_return_1m,nasdaq_return_1m,sector_return_1m,interest_rate,inflation,market_regime,valuation_score,growth_score,quality_score,financial_health_score,momentum_score,earnings_score,baseline_investment_score
AAPL,2025-12-05,249.880000,0.008720,-0.017650,-0.101570,-0.017650,-0.101570,-0.171600,-0.037550,0.273620,0.270320,-0.228720,-0.228720,0.126750,0.248600,33.360000,30.400000,23.550000,9.520000,0.027470,0.056500,0.073800,0.064400,0.459200,0.306200,0.234700,1.517500,0.247400,0.564600,1.717800,4.619000,0.848000,0.028200,0.512000,0.822000,-0.259400,0.029900,4.480000,0.370000,0.016000,-0.056400,-0.015700,3.770000,3.050000,neutral,0.533300,0.111100,0.672200,0,0.216700,0.600000,0.355800
MSFT,2025-12-05,535.930000,0.026210,0.065950,0.031940,0.065950,0.031940,-0.112070,0.048910,0.235250,0.227460,-0.121170,-0.121170,0.220940,-0.228600,35.700000,28.110000,22.710000,12.410000,0.021400,0.142900,0.170000,0.163800,0.685900,0.428900,0.351500,0.341600,0.178200,0.278900,0.311000,0.693000,1.324000,-0.053700,0.294000,0.861000,-0.173000,-0.255800,3.900000,0.123000,-0.001300,0.064600,-0.006300,3.770000,3.050000,neutral,0.422200,0.650000,0.594400,0.555600,0.650000,0.150000,0.529200
NVDA,2025-12-05,96.850000,0.044540,0.097950,-0.034010,0.097950,-0.034010,-0.275830,-0.330870,0.536280,0.552340,-0.488510,-0.488510,0.154900,0.271100,53.710000,34.130000,40.090000,25.590000,0.017970,0.748300,1.003100,0.839000,0.745100,0.595700,0.536900,0.909000,0.639500,0.760600,0.123200,0.466000,4.050000,-0.008800,0.425000,1.318000,0.432400,0.225900,4.410000,-0.450000,0.028700,-0.027200,0.084600,3.770000,3.050000,risk-off,0.155600,1,0.905600,0.922200,0.083300,0.500000,0.613100
META,2025-12-05,883.940000,0.038210,0.096430,-0.046090,0.096430,-0.046090,-0.227830,-0.084960,0.334760,0.319450,-0.243290,-0.243290,0.262180,-0.049900,27.410000,24.210000,17.520000,8.750000,0.036850,0.206200,0.273700,0.230800,0.801700,0.409300,0.363700,0.363400,0.228800,0.295100,0.265400,0.421000,2.851000,0.056900,0.591000,0.852000,0.046800,0.034500,4.720000,-0.198000,0.056300,-0.053800,0.012700,3.770000,3.050000,neutral,0.788900,0.888900,0.688900,0.733300,0.155600,0.811100,0.687800
GOOGL,2025-12-05,292.340000,0.026730,0.078430,0.115040,0.078430,0.115040,0.099150,0.148770,0.279970,0.308670,0,0,0.386810,-0.099300,24.960000,21.190000,17.130000,6.760000,0.030300,0.125900,0.179100,0.157600,0.575500,0.311100,0.281400,0.292800,0.204000,0.254400,0.084900,0.131000,1.794000,-0.032200,0.275000,0.768000,-0.033500,-0.006200,3.350000,-0.331000,0.026900,0.019600,-0.014300,3.770000,3.050000,neutral,0.811100,0.572200,0.416700,0.900000,0.861100,0.238900,0.648100
AMZN,2025-12-05,267.010000,0.020880,0.096870,0.011440,0.096870,0.011440,-0.013630,0.036530,0.280340,0.304360,-0.118750,-0.118750,0.204540,-0.163500,43.910000,31.480000,19.910000,3.400000,0.014910,0.099900,0.128900,0.118000,0.477900,0.107400,0.089600,0.206300,0.086700,0.135300,0.526400,1.062000,1.046000,-0.019700,0.373000,0.530000,0.045500,0.028700,3.490000,0.053000,-0.002700,0.003800,0.021300,3.770000,3.050000,neutral,0.466700,0.222200,0.222200,0.305600,0.600000,0.333300,0.351400
TSLA,2025-12-05,725.480000,0.055310,0.082340,0.207400,0.082340,0.207400,-0.027190,-0.009290,0.533290,0.574030,-0.162430,-0.162430,1.332280,0.021200,124.810000,94.240000,70.800000,13.620000,0.002630,0.008900,0.010400,0.010000,0.175000,0.071800,0.070500,0.099900,0.059900,0.077900,0.175800,1.584000,1.964000,-0.092500,0.171000,1.470000,-0.045500,-0.028700,3.650000,-0.418000,0.033700,0.020100,0.052600,3.770000,3.050000,risk-off,0.044400,0,0,0.777800,0.611100,0,0.217200
JPM,2025-12-05,271.500000,0.011400,0.010380,-0.073350,0.010380,-0.073350,-0.122890,-0.030700,0.236610,0.205130,-0.131560,-0.131560,0.058690,0.058800,12.340000,13.030000,10.830000,3.870000,0.052650,0.114500,0.155400,0.138000,0.607500,0.411400,0.328500,0.174300,0.014000,0.111300,1.332800,1.132000,1.101000,0.036300,0.639000,0.593000,0.004500,-0.162900,3.910000,0.327000,0.030900,0.090000,0.040200,3.770000,3.050000,neutral,0.977800,0.427800,0.311100,0.144400,0.344400,0.816700,0.498300
V,2025-12-05,399.240000,0.025220,0.042590,0.018080,0.042590,0.018080,-0.029840,0.080430,0.166000,0.193190,-0.029840,-0.029840,0.194580,0.058200,27.930000,26.830000,20.390000,16.970000,0.031460,0.105500,0.153800,0.134300,0.806100,0.678500,0.554100,0.530700,0.208900,0.437100,0.527800,1.109000,1.305000,0.022600,0.606000,1.407000,-0.004500,0.162900,4.150000,0.341000,0.037200,-0.043300,-0.055000,3.770000,3.050000,risk-on,0.533300,0.366700,0.866700,0.405600,0.705600,0.550000,0.575000
NFLX,2025-12-05,1720.080000,0.031970,0.002030,-0.012590,0.002030,-0.012590,0.071780,0.220860,0.271430,0.380960,-0.071990,-0.071990,0.844850,0.031100,46.330000,36.040000,31.700000,9.850000,0.018390,0.146000,0.198400,0.173600,0.449700,0.259400,0.216400,0.349600,0.138800,0.232400,0.697200,2.252000,1.185000,0.106800,0.862000,1.380000,-0.013400,-0.028200,4.980000,-0.086000,0.032500,-0.004100,0.007200,3.770000,3.050000,neutral,0.266700,0.761100,0.322200,0.255600,0.772200,1,0.524200
AAPL,2025-12-12,239.050000,-0.029990,-0.043340,-0.150890,-0.043340,-0.150890,-0.239740,-0.034690,0.275200,0.264080,-0.262150,-0.262150,0.077920,0.060400,32.690000,30.040000,23.860000,9.220000,0.028760,0.056100,0.075900,0.069600,0.457800,0.310700,0.234900,1.484900,0.248300,0.560100,1.759300,4.614000,0.852000,0.147200,1,0.822000,-0.257400,0.029400,4.480000,-0.172000,0.019900,0.042400,-0.038400,3.890000,3.080000,neutral,0.533300,0.111100,0.672200,0,0.177800,1,0.390000
MSFT,2025-12-12,522.120000,-0.010590,-0.025770,0.024170,-0.025770,0.024170,-0.122720,0.060640,0.253720,0.226440,-0.143810,-0.143810,0.177250,0.218700,36.730000,29.580000,22.460000,11.490000,0.019310,0.141000,0.189400,0.166000,0.687100,0.440400,0.347700,0.339700,0.177500,0.268400,0.318300,0.691000,1.330000,-0.051500,0.279000,0.861000,-0.172500,-0.262300,3.180000,-0.053000,-0.031500,0.013600,-0.052300,3.890000,3.080000,neutral,0.422200,0.688900,0.594400,0.555600,0.616700,0.111100,0.528100
NVDA,2025-12-12,89.560000,-0.032720,-0.075270,-0.100710,-0.075270,-0.100710,-0.329590,-0.327830,0.601090,0.545440,-0.527010,-0.527010,0.067970,-0.090500,50.920000,35.190000,42.960000,24.810000,0.017500,0.743400,0.875400,0.846800,0.737900,0.608200,0.542500,0.872300,0.628900,0.763600,0.121600,0.459000,4.058000,0.055900,0.719000,1.318000,0.429900,0.232900,4.340000,-0.159000,-0.003300,0.051000,-0.015500,3.890000,3.080000,risk-off,0.155600,1,0.905600,0.922200,0.027800,0.777800,0.632500
META,2025-12-12,866.080000,-0.016180,-0.020200,-0.024410,-0.020200,-0.024410,-0.211880,-0.097310,0.351320,0.327860,-0.258580,-0.258580,0.236670,-0.291800,28.180000,25.530000,16.830000,9.350000,0.033650,0.208700,0.283400,0.235400,0.797000,0.412700,0.362800,0.359800,0.225200,0.296500,0.260100,0.419000,2.880000,0.096400,0.871000,0.852000,0.046400,0.032100,4.730000,0.339000,-0.043400,0.002200,0.040700,3.890000,3.080000,neutral,0.788900,0.888900,0.688900,0.733300,0.250000,0.888900,0.709700
GOOGL,2025-12-12,283.400000,-0.005330,-0.030580,0.077320,-0.030580,0.077320,0.025590,0.177590,0.253160,0.297410,-0.033720,-0.033720,0.344400,0.062000,23.930000,20.970000,17.050000,6.450000,0.031830,0.126800,0.164900,0.151900,0.569300,0.313100,0.281200,0.303700,0.201300,0.261500,0.087500,0.130000,1.785000,-0.001400,0.522000,0.768000,-0.035500,-0.002900,3.870000,-0.069000,0.050700,-0.031600,-0.004800,3.890000,3.080000,neutral,0.811100,0.588900,0.416700,0.900000,0.911100,0.222200,0.657200
AMZN,2025-12-12,258.460000,0.001820,-0.032020,-0.006230,-0.032020,-0.006230,-0.095090,0.024820,0.290210,0.284510,-0.146970,-0.146970,0.165970,-0.042500,42.580000,30.940000,19,3.560000,0.016260,0.100800,0.125300,0.128200,0.482000,0.106400,0.087600,0.201000,0.084800,0.138800,0.524500,1.060000,1.033000,0.018200,0.586000,0.530000,0.046100,0.030200,4.340000,0.213000,0.038300,0.049800,0.020600,3.890000,3.080000,neutral,0.466700,0.222200,0.222200,0.305600,0.494400,0.538900,0.356100
TSLA,2025-12-12,681.280000,-0.064420,-0.060930,0.105060,-0.060930,0.105060,-0.027420,0.038430,0.579780,0.598560,-0.213460,-0.213460,1.190190,0.342300,124.440000,93.010000,75.570000,12.700000,0.002760,0.008500,0.011000,0.009600,0.173200,0.069800,0.070300,0.099400,0.059900,0.078400,0.172600,1.584000,1.984000,0.036500,0.561000,1.470000,-0.046200,-0.030200,3.820000,0.017000,-0.052700,0.088800,0.017700,3.890000,3.080000,risk-off,0.044400,0,0,0.777800,0.638900,0.450000,0.266400
JPM,2025-12-12,264.840000,0.001250,-0.024530,-0.087800,-0.024530,-0.087800,-0.128870,-0.006420,0.208710,0.201290,-0.152860,-0.152860,0.021840,-0.094000,12.700000,14.090000,11.520000,4.040000,0.049600,0.113900,0.153700,0.132800,0.609100,0.412700,0.317900,0.174800,0.013800,0.112500,1.351500,1.130000,1.131000,-0.093100,0.147000,0.593000,0.001500,-0.159200,4.060000,-0.490000,0.086200,-0.060200,-0.011600,3.890000,3.080000,neutral,0.977800,0.411100,0.311100,0.144400,0.388900,0,0.420000
V,2025-12-12,404.020000,-0.009270,0.011970,0.017380,0.011970,0.017380,0.007410,0.123060,0.170380,0.191130,-0.018230,-0.018230,0.208880,-0.023300,30.310000,26.180000,21.460000,16.060000,0.028570,0.111000,0.155100,0.131400,0.804200,0.672600,0.559700,0.526900,0.214000,0.430900,0.535700,1.107000,1.325000,0.015000,0.582000,1.407000,-0.001400,0.159200,3.620000,-0.657000,-0.044300,0.012200,0.011100,3.890000,3.080000,risk-on,0.533300,0.366700,0.866700,0.405600,0.783300,0.372200,0.568900
NFLX,2025-12-12,1677.200000,-0.024510,-0.024930,-0.078100,-0.024930,-0.078100,0.011030,0.316250,0.284430,0.368420,-0.095130,-0.095130,0.798860,-0.033600,41.460000,35.580000,28.830000,9.180000,0.017300,0.151500,0.195500,0.161400,0.452700,0.258200,0.218400,0.348900,0.139200,0.235300,0.689700,2.245000,1.148000,0.046600,0.633000,1.380000,-0.010800,-0.029100,4.420000,0.040000,0.016700,0.025700,-0.000100,3.890000,3.080000,neutral,0.266700,0.722200,0.322200,0.255600,0.711100,0.638900,0.471100
AAPL,2025-12-19,246.760000,0.013430,0.032250,-0.018960,0.032250,-0.018960,-0.234850,-0.015010,0.265210,0.276390,-0.238350,-0.238350,0.112680,0.034400,34.280000,30.500000,23.990000,8.340000,0.029960,0.058500,0.069300,0.063100,0.454300,0.309200,0.229600,1.502700,0.251400,0.565000,1.797000,4.608000,0.840000,0.031400,0.617000,0.822000,-0.250900,0.036200,3.910000,0.057000,0.036200,0.047200,-0.036100,3.900000,3.090000,neutral,0.533300,0.111100,0.672200,0,0.161100,0.588900,0.346400
MSFT,2025-12-19,516.620000,0.011160,-0.010530,0.036120,-0.010530,0.036120,-0.130500,0.021570,0.251310,0.230090,-0.152830,-0.152830,0.135130,0.073100,34.520000,27.480000,20.390000,11.770000,0.019440,0.146500,0.181300,0.175000,0.686300,0.436700,0.345400,0.340800,0.178700,0.273800,0.320300,0.689000,1.319000,0.123000,1,0.861000,-0.162900,-0.255000,4.130000,0.365000,-0.011100,-0.041900,-0.018500,3.900000,3.090000,neutral,0.422200,0.744400,0.594400,0.555600,0.411100,0.961100,0.593300
NVDA,2025-12-19,90.750000,-0.017540,0.013290,0.082160,0.013290,0.082160,-0.319360,-0.320380,0.435040,0.531730,-0.520730,-0.520730,0.082160,-0.292300,52.470000,32.970000,45.100000,27.770000,0.019790,0.723200,0.836400,0.830400,0.740200,0.615700,0.530800,0.869500,0.634800,0.747600,0.126300,0.453000,4.111000,0.031800,0.674000,1.318000,0.413800,0.218800,4.360000,-0.400000,0.045400,0.001300,-0.011600,3.900000,3.090000,risk-off,0.155600,1,0.905600,0.922200,0.183300,0.777800,0.655800
META,2025-12-19,865.700000,-0.008900,-0.000440,0.077410,-0.000440,0.077410,-0.162100,-0.072700,0.330790,0.333370,-0.258910,-0.258910,0.236130,-0.138300,27.050000,22.650000,17.490000,9.080000,0.036520,0.199700,0.244700,0.238100,0.801800,0.414400,0.363900,0.359400,0.224800,0.294100,0.264000,0.418000,2.868000,-0.096400,0.151000,0.852000,0.043500,0.033200,4.020000,0.161000,0.033900,-0.009300,0.013100,3.900000,3.090000,neutral,0.788900,0.888900,0.711100,0.733300,0.277800,0,0.629400
GOOGL,2025-12-19,292.340000,0.007440,0.031550,0.138000,0.031550,0.138000,0.036150,0.241620,0.253110,0.295930,-0.009450,-0.009450,0.368570,-0.054300,24.680000,21.210000,17.260000,6.880000,0.033310,0.130400,0.164700,0.146500,0.577400,0.312900,0.274600,0.298300,0.200800,0.255000,0.089700,0.130000,1.771000,0.020100,0.643000,0.768000,-0.025800,-0.005900,4.110000,-0.094000,-0.042100,-0.119600,0.013700,3.900000,3.090000,neutral,0.811100,0.538900,0.416700,0.900000,0.761100,0.527800,0.655300
AMZN,2025-12-19,252.170000,-0.006340,-0.024340,0.032930,-0.024340,0.032930,-0.110980,0.061010,0.237510,0.262860,-0.167730,-0.167730,0.137590,0.126700,42.430000,29.470000,18.910000,3.800000,0.016600,0.103200,0.132800,0.122300,0.476600,0.104800,0.088300,0.198800,0.084500,0.136700,0.511400,1.057000,1.007000,0.008000,0.603000,0.530000,0.047200,0.028300,3.630000,-0.164000,0.068500,-0.017700,-0.005800,3.900000,3.090000,neutral,0.466700,0.222200,0.222200,0.305600,0.511100,0.350000,0.339700
TSLA,2025-12-19,719.900000,-0.026250,0.056690,0.250760,0.056690,0.250760,0.075940,0.076820,0.584050,0.586680,-0.168870,-0.168870,1.314340,-0.123300,121.240000,88.890000,71.470000,13.060000,0.003060,0.008800,0.010300,0.010000,0.173700,0.070700,0.070500,0.102500,0.059300,0.080000,0.169800,1.584000,1.962000,0.093900,1,1.470000,-0.047200,-0.028300,4.430000,0.110000,0.019200,0.019700,-0.040200,3.900000,3.090000,risk-off,0.044400,0,0,0.777800,0.766700,0.927800,0.333300
JPM,2025-12-19,276.520000,0.008680,0.044100,-0.005790,0.044100,-0.005790,-0.084340,0.042800,0.239510,0.208310,-0.115500,-0.115500,0.066900,-0.024200,12.840000,14.300000,11.240000,3.900000,0.047990,0.110000,0.144300,0.132000,0.607900,0.410600,0.328200,0.170900,0.014000,0.112100,1.333600,1.128000,1.118000,-0.003700,0.399000,0.593000,0.001300,-0.161600,3.440000,0.193000,-0.001300,0.040800,-0.028100,3.900000,3.090000,neutral,0.977800,0.372200,0.288900,0.144400,0.450000,0.305600,0.447500
V,2025-12-19,419.020000,0.002800,0.037130,0.092960,0.037130,0.092960,0.058720,0.169470,0.184880,0.198780,-0.007860,-0.007860,0.253760,-0.093900,30.020000,27.320000,22.630000,16.350000,0.030730,0.107400,0.146300,0.140200,0.812400,0.681200,0.573400,0.535900,0.213200,0.435400,0.527500,1.105000,1.301000,0.003300,0.648000,1.407000,-0.001300,0.161700,3.890000,-0.083000,0.065900,0.089300,0.022200,3.900000,3.090000,risk-on,0.533300,0.422200,0.866700,0.405600,0.850000,0.394400,0.592200
NFLX,2025-12-19,1763.060000,0.017420,0.051190,0.027950,0.051190,0.027950,0.036190,0.272810,0.281510,0.364500,-0.048800,-0.048800,0.890940,-0.037000,44.660000,36.390000,29.800000,9.920000,0.016590,0.138400,0.195500,0.174100,0.453600,0.260700,0.214800,0.349400,0.138200,0.233500,0.702300,2.240000,1.187000,-0.038900,0.384000,1.380000,-0.017800,-0.027400,3.770000,-0.145000,-0.007700,-0.039000,0.025600,3.900000,3.090000,neutral,0.266700,0.700000,0.322200,0.255600,0.627800,0.166700,0.406900
AAPL,2025-12-26,250.490000,-0.011050,0.015120,-0.014360,0.015120,-0.014360,-0.209390,-0.025250,0.271000,0.272670,-0.226830,-0.226830,0.129500,-0.059500,34.210000,28.950000,25.310000,8.930000,0.028610,0.058800,0.074900,0.067300,0.449300,0.307800,0.237600,1.528500,0.247900,0.569400,1.843000,4.603000,0.827000,0.108900,0.902000,0.822000,-0.246900,0.032700,4.340000,-0.308000,-0.029700,0.036300,0.030100,4.060000,3.110000,neutral,0.533300,0.111100,0.650000,0,0.177800,1,0.385600
MSFT,2025-12-26,532.800000,-0.024850,0.031320,0.071450,0.031320,0.071450,-0.094680,0.047580,0.258770,0.226740,-0.126300,-0.126300,0.170530,0.221600,36.020000,30.430000,22.430000,12.560000,0.019850,0.139400,0.161500,0.166500,0.679400,0.436200,0.351200,0.335200,0.177400,0.274100,0.322000,0.688000,1.291000,0.005400,0.466000,0.861000,-0.166300,-0.262600,3.350000,-0.172000,0.005800,-0.032400,0.012400,4.060000,3.110000,neutral,0.422200,0.655600,0.594400,0.522200,0.594400,0.500000,0.551900
NVDA,2025-12-26,97.640000,-0.027880,0.075920,0.130090,0.075920,0.130090,-0.304610,-0.315100,0.506930,0.546640,-0.484340,-0.484340,0.164320,0.087800,51.790000,34.110000,48.690000,25.260000,0.019330,0.718800,0.945300,0.772300,0.741200,0.603000,0.538000,0.901300,0.608200,0.766500,0.125100,0.448000,4.058000,0.007100,0.583000,1.318000,0.413100,0.229800,4.130000,-0.105000,-0.005800,0.040100,0.028600,4.060000,3.110000,risk-off,0.155600,1,0.905600,0.922200,0.266700,0.538900,0.644400
META,2025-12-26,835.750000,-0.027900,-0.034600,0.051770,-0.034600,0.051770,-0.201810,-0.162090,0.350730,0.324900,-0.284550,-0.284550,0.193370,0.377600,27.300000,24.740000,17.340000,9.010000,0.034950,0.193300,0.222300,0.240100,0.802800,0.410100,0.367900,0.355400,0.228800,0.288800,0.254900,0.417000,2.861000,0.050500,0.632000,0.852000,0.034500,0.029400,4.130000,-0.047000,0.033200,-0.034900,0.035900,4.060000,3.110000,neutral,0.788900,0.888900,0.711100,0.733300,0.250000,0.888900,0.714200
GOOGL,2025-12-26,283.400000,-0.035890,-0.030580,0.046340,-0.030580,0.046340,0.013160,0.115840,0.283020,0.297610,-0.056910,-0.056910,0.326720,-0.018300,24.400000,20.610000,17.920000,6.710000,0.032020,0.128100,0.155300,0.151700,0.572600,0.312300,0.282700,0.302100,0.205700,0.254700,0.087300,0.130000,1.778000,0.011900,0.479000,0.768000,-0.030700,-0.004700,4.320000,0.156000,-0.001500,-0.007300,0.089000,4.060000,3.110000,neutral,0.811100,0.522200,0.416700,0.900000,0.550000,0.600000,0.627500
AMZN,2025-12-26,254.190000,-0.027510,0.008010,0.038740,0.008010,0.038740,-0.055860,0.016480,0.264980,0.272860,-0.161060,-0.161060,0.146700,0.117600,42.830000,33.110000,20.150000,3.650000,0.016650,0.095400,0.128800,0.122800,0.482800,0.104800,0.089200,0.197100,0.084700,0.135100,0.518200,1.056000,1.033000,-0.079700,0.055000,0.530000,0.043600,0.028400,3.530000,-0.102000,-0.039500,0.012100,-0.043300,4.060000,3.110000,neutral,0.466700,0.222200,0.222200,0.305600,0.461100,0,0.297200
TSLA,2025-12-26,727.650000,-0.029080,0.010770,0.078050,0.010770,0.078050,0.028390,0.147530,0.571530,0.570710,-0.159920,-0.159920,1.339260,0.015400,123.610000,85.630000,63.690000,12.520000,0.002720,0.008300,0.010200,0.010000,0.174000,0.072100,0.070200,0.101400,0.059800,0.078300,0.178700,1.583000,1.947000,-0.012300,0.392000,1.470000,-0.043500,-0.028400,4.260000,-0.010000,-0.018800,0.052000,0.047800,4.060000,3.110000,risk-off,0.044400,0,0,0.777800,0.688900,0.183300,0.247200
JPM,2025-12-26,269.050000,-0.028450,-0.027010,-0.007600,-0.027010,-0.007600,-0.097750,-0.009790,0.260020,0.214830,-0.139400,-0.139400,0.038080,0.274000,14.490000,14.190000,11.590000,3.960000,0.047770,0.110700,0.142100,0.135600,0.605600,0.406900,0.325800,0.166800,0.013800,0.110800,1.285300,1.125000,1.099000,-0.019200,0.452000,0.593000,0.001100,-0.166300,4.070000,-0.277000,0.034700,0.037600,0.013200,4.060000,3.110000,neutral,0.977800,0.372200,0.288900,0.144400,0.344400,0.150000,0.416100
