ticker,snapshot_date,news_sentiment_7d,news_sentiment_30d,positive_news_count,negative_news_count,analyst_upgrades_30d,analyst_downgrades_30d,analyst_rating,target_price_consensus,target_upside,number_of_analysts
NFLX,2025-12-15,0.144000,-0.145000,11,12,1,3,3.770000,2183.420000,0.202900,41
AAPL,2025-12-22,-0.036000,-0.308000,27,10,6,0,4.340000,272.330000,0.076000,36
MSFT,2025-12-22,-0.134000,-0.172000,16,11,3,2,3.350000,657.150000,0.198800,56
NVDA,2025-12-22,0.019000,-0.105000,19,10,3,2,4.130000,104.610000,0.039500,51
META,2025-12-22,0.356000,-0.047000,21,8,6,0,4.130000,763.020000,-0.099200,48
GOOGL,2025-12-22,-0.069000,0.156000,7,4,0,1,4.320000,342.240000,0.174200,52
AMZN,2025-12-22,-0.010000,-0.102000,11,9,0,4,3.530000,293.240000,0.154200,29
TSLA,2025-12-22,0.069000,-0.010000,7,12,0,3,4.260000,987.550000,0.260600,27
JPM,2025-12-22,0.020000,-0.277000,17,9,3,4,4.070000,327.510000,0.198000,32
V,2025-12-22,-0.482000,-0.298000,10,8,2,3,3.760000,459.760000,0.116300,56
NFLX,2025-12-22,-0.047000,-0.136000,16,6,2,3,4.350000,2041.830000,0.066800,49
AAPL,2025-12-29,-0.129000,-0.231000,17,18,1,2,4.310000,262.790000,0.116200,42
MSFT,2025-12-29,0.775000,0.551000,27,0,5,0,4.560000,646.070000,0.174300,26
NVDA,2025-12-29,-0.180000,0.596000,21,12,4,2,4.200000,114.890000,0.144600,50
META,2025-12-29,0.270000,0.249000,20,6,4,1,4.080000,974.850000,0.207000,40
GOOGL,2025-12-29,-0.436000,0.194000,9,8,0,4,3.990000,321.890000,0.179400,46
AMZN,2025-12-29,0.330000,-0.042000,19,8,1,3,4.130000,292.550000,0.134500,42
TSLA,2025-12-29,-0.002000,0.162000,16,1,5,1,4.920000,719.340000,0.112900,32
JPM,2025-12-29,-0.086000,-0.213000,8,10,0,4,3.570000,367.840000,0.349100,34
V,2025-12-29,0.559000,0.283000,24,2,4,2,4.480000,531.740000,0.296200,39
NFLX,2025-12-29,0.278000,-0.169000,9,8,3,4,3.120000,2266.960000,0.212100,37
AAPL,2026-01-05,0.105000,-0.434000,8,7,2,4,3.550000,250.830000,0.117600,33
MSFT,2026-01-05,0.397000,0.443000,22,3,2,1,4.310000,615.770000,0.223200,42
NVDA,2026-01-05,-0.315000,-0.521000,2,16,0,3,3.610000,98.910000,0.145700,33
META,2026-01-05,-0.072000,0.116000,18,0,2,3,4.740000,887.350000,0.157600,28
GOOGL,2026-01-05,0.275000,0.474000,23,0,1,1,3.650000,265,0.066800,28
AMZN,2026-01-05,0.356000,-0.097000,18,3,4,2,3.880000,253.210000,0.077900,51
TSLA,2026-01-05,0.316000,0.421000,12,6,1,1,4.680000,681.310000,0.160600,32
JPM,2026-01-05,0.057000,0.191000,18,3,4,0,4.010000,282.230000,0.096700,39
V,2026-01-05,0.034000,0.069000,29,0,5,0,4.720000,409.080000,0.042500,35
NFLX,2026-01-05,0.368000,0.511000,17,6,6,1,3.780000,2151.560000,0.193500,43
AAPL,2026-01-12,-0.133000,-0.413000,12,5,2,5,3.880000,265.150000,0.184200,37
MSFT,2026-01-12,0.476000,0.113000,15,5,5,1,4.990000,541.360000,0.105900,49
NVDA,2026-01-12,-0.206000,-0.093000,20,4,1,2,4.020000,87.930000,0.060300,46
META,2026-01-12,0.227000,0.372000,14,4,2,1,3.660000,918.080000,0.171000,57
GOOGL,2026-01-12,-0.461000,-0.440000,7,13,0,4,3.410000,226.050000,-0.095500,33
AMZN,2026-01-12,0.680000,0.470000,16,6,4,1,4.480000,262.260000,0.098800,38
TSLA,2026-01-12,0.527000,0.298000,13,7,5,5,4.710000,636.390000,0.035000,48
JPM,2026-01-12,0.451000,-0.379000,17,8,4,1,3.610000,272.790000,0.093200,43
V,2026-01-12,0.304000,0.163000,10,7,1,2,4.450000,448.160000,0.156900,56
NFLX,2026-01-12,0.064000,0.339000,18,12,3,1,4.680000,1636.800000,-0.023900,57
AAPL,2026-01-16,0.008000,-0.246000,16,6,4,0,3.640000,245.840000,0.105900,55
MSFT,2026-01-16,-0.095000,-0.014000,13,9,1,5,3.870000,535.140000,0.092500,32
NVDA,2026-01-16,0.576000,0.217000,17,10,1,3,4.180000,89.220000,0.177800,27
META,2026-01-16,-0.116000,-0.097000,9,16,0,0,4.010000,798.310000,0.025400,56
GOOGL,2026-01-16,0.152000,-0.035000,9,0,3,1,4.160000,316.130000,0.248600,54
AMZN,2026-01-16,0.116000,0.395000,10,0,2,4,3.990000,287.760000,0.261900,34
TSLA,2026-01-16,0.568000,0.319000,12,4,2,1,3.260000,653.590000,0.070400,31
JPM,2026-01-16,0.299000,0.801000,22,0,6,1,5,302.740000,0.230300,28
V,2026-01-16,0.529000,0.259000,15,0,2,1,4.080000,407.570000,0.066200,50
NFLX,2026-01-16,0.287000,0.372000,24,7,0,4,4.140000,1627.340000,0.044400,41
AAPL,2026-01-26,-0.191000,0.044000,12,5,0,2,3.380000,277.050000,0.255600,52
MSFT,2026-01-26,0.377000,0.036000,21,8,2,1,3.970000,520.870000,0.090600,46
NVDA,2026-01-26,0.665000,0.243000,26,9,4,0,4.310000,105.090000,0.360200,47
META,2026-01-26,0.049000,0.364000,16,7,1,1,3.790000,921.890000,0.220900,26
GOOGL,2026-01-26,-0.257000,0.469000,9,6,0,3,3.780000,292.750000,0.185200,40
AMZN,2026-01-26,0.139000,-0.343000,17,8,4,2,3.810000,228.690000,0.022300,29
TSLA,2026-01-26,-0.178000,-0.058000,16,18,2,1,3.850000,892.360000,0.309000,46
JPM,2026-01-26,-0.031000,0.065000,14,3,5,2,4.360000,260.980000,0.049400,33
V,2026-01-26,0.310000,-0.075000,20,5,5,1,3.520000,498.570000,0.265300,29
NFLX,2026-01-26,-0.353000,0.527000,4,8,3,1,3.370000,1610.430000,-0.010500,38
AAPL,2026-02-02,-0.254000,0.029000,8,9,0,2,3.850000,273.730000,0.242100,54
MSFT,2026-02-02,-0.343000,-0.584000,10,11,0,4,3.170000,576.990000,0.222000,28
NVDA,2026-02-02,-0.073000,-0.042000,13,12,3,0,4.640000,89.060000,0.121300,25
META,2026-02-02,0.881000,-0.207000,12,8,4,1,4.200000,820.770000,0.187700,25
GOOGL,2026-02-02,0.171000,-0.136000,26,2,4,0,4.920000,260.450000,0.047200,47
AMZN,2026-02-02,0.341000,0.191000,23,4,4,3,4.710000,234.050000,0.027600,51
TSLA,2026-02-02,-0.136000,0.335000,16,6,1,2,4.060000,850.320000,0.145000,47
JPM,2026-02-02,-0.068000,-0.390000,11,8,4,2,4.040000,303.270000,0.232100,46
V,2026-02-02,0.241000,-0.077000,15,2,5,1,4.240000,422.500000,0.077800,35
NFLX,2026-02-02,-0.029000,-0.066000,13,8,1,1,3.560000,1671.520000,0.062500,40
AAPL,2026-02-09,-0.320000,-0.325000,3,6,0,0,3.610000,254.510000,0.141300,55
MSFT,2026-02-09,0.528000,-0.059000,13,10,6,0,3.940000,484.400000,0.009000,29
NVDA,2026-02-09,0.138000,-0.316000,28,13,4,0,4.330000,100.960000,0.262100,48
META,2026-02-09,0.513000,0.119000,11,11,0,1,3.480000,879.470000,0.266600,55
GOOGL,2026-02-09,0.298000,0.396000,18,14,3,2,4.130000,281.850000,0.146700,34
AMZN,2026-02-09,-0.039000,0.375000,8,12,2,2,3.360000,285.500000,0.198500,58
TSLA,2026-02-09,-0.187000,0.139000,23,10,1,1,3.790000,966.290000,0.140200,28
JPM,2026-02-09,0.268000,0.353000,16,10,1,2,3.970000,277.550000,0.122900,35
V,2026-02-09,-0.452000,-0.515000,16,0,0,3,3.230000,454.740000,0.149700,52
NFLX,2026-02-09,0.170000,0.127000,20,11,1,1,3.630000,1703.120000,0.102400,26
AAPL,2026-02-13,0.376000,0.453000,18,9,3,2,4.220000,237.440000,0.039600,25
MSFT,2026-02-13,0.244000,-0.122000,17,14,0,2,3.400000,483.510000,0.027400,57
NVDA,2026-02-13,-0.029000,-0.538000,8,8,1,3,3.970000,90.370000,0.112400,36
META,2026-02-13,-0.240000,-0.271000,18,11,3,2,3.950000,834.050000,0.145100,46
GOOGL,2026-02-13,-0.261000,0.268000,8,11,4,1,3.450000,273.170000,0.052200,39
AMZN,2026-02-13,0.127000,0.009000,22,13,2,5,3.690000,245.700000,-0.015900,47
TSLA,2026-02-13,-0.134000,0.254000,17,7,7,2,3.410000,1035.640000,0.128100,53
JPM,2026-02-13,0.505000,0.158000,13,4,6,3,4.620000,306.200000,0.218500,58
V,2026-02-13,0.985000,0.137000,17,8,1,2,3.900000,414.600000,0.033800,39
NFLX,2026-02-13,0.271000,0.657000,20,2,6,0,4.620000,2000.260000,0.254000,54
AAPL,2026-02-23,-0.015000,0.113000,11,4,5,0,4.280000,245.710000,0.049800,42
MSFT,2026-02-23,0.178000,-0.264000,13,11,2,4,3.840000,553.410000,0.207700,31
NVDA,2026-02-23,-0.694000,-0.072000,6,10,0,4,3.260000,91.610000,0.143700,30
META,2026-02-23,-0.016000,0.031000,12,10,3,0,4.190000,775.450000,0.086000,34
GOOGL,2026-02-23,0.152000,-0.219000,13,2,3,2,3.620000,287.670000,0.137000,28
AMZN,2026-02-23,0.254000,-0.012000,15,4,2,3,4.090000,286.560000,0.170600,40
TSLA,2026-02-23,-0.032000,0.236000,12,5,3,1,3.760000,984.760000,0.133200,43
JPM,2026-02-23,0.317000,0.396000,16,7,1,1,4.480000,272.210000,0.074100,38
V,2026-02-23,0.203000,0.110000,13,15,0,3,3.150000,476.290000,0.203800,36
NFLX,2026-02-23,0.190000,0.204000,26,12,2,4,4.140000,1631.030000,0.107100,57
AAPL,2026-03-02,0.063000,0.302000,13,7,2,0,4.450000,240.640000,0.023200,57
MSFT,2026-03-02,-0.071000,-0.319000,20,9,0,3,4.260000,567.800000,0.210700,35
NVDA,2026-03-02,-0.434000,-0.321000,9,9,1,3,4.210000,105.550000,0.179600,40
META,2026-03-02,0.081000,0.264000,15,10,2,4,3.650000,736.980000,0.096900,40
GOOGL,2026-03-02,-0.047000,-0.266000,17,7,3,2,3.870000,307.110000,0.203700,46
AMZN,2026-03-02,0.271000,0.108000,18,4,3,2,3.800000,284.050000,0.151100,56
TSLA,2026-03-02,0.272000,-0.061000,12,9,0,2,4.490000,1063.980000,0.162900,38
JPM,2026-03-02,-0.242000,-0.277000,11,11,1,3,3.290000,280.660000,0.133300,41
V,2026-03-02,0.931000,0.516000,18,8,6,0,4.710000,461.210000,0.179200,41
NFLX,2026-03-02,0.310000,0.319000,16,3,3,0,4.810000,1337.080000,-0.025400,31
AAPL,2026-03-09,0.725000,0.255000,17,5,4,2,4.530000,290.080000,0.183200,47
MSFT,2026-03-09,0.216000,0.099000,17,2,2,0,4.020000,454.950000,-0.011300,28
NVDA,2026-03-09,0.168000,0.377000,23,3,5,1,4.190000,89.010000,0.013100,47
META,2026-03-09,-0.186000,-0.312000,15,15,1,4,3.220000,778.790000,0.088400,55
GOOGL,2026-03-09,-0.222000,-0.421000,14,9,0,1,4.400000,331.470000,0.297300,57
AMZN,2026-03-09,0.504000,-0.345000,7,8,3,2,3.980000,296.640000,0.221100,41
TSLA,2026-03-09,-0.071000,0.306000,22,7,5,1,4.420000,832.020000,-0.077600,56
JPM,2026-03-09,0.457000,0.129000,23,2,4,1,4.150000,246.230000,-0.003900,58
V,2026-03-09,0.075000,-0.277000,11,13,0,1,4.520000,565.760000,0.429600,39
NFLX,2026-03-09,0.602000,0.050000,15,4,3,2,4.270000,1651.840000,0.215000,26
AAPL,2026-03-16,-0.291000,-0.151000,10,11,3,2,4.030000,321.680000,0.273000,25
MSFT,2026-03-16,-0.285000,-0.335000,18,11,1,5,3.190000,513.790000,0.132000,58
NVDA,2026-03-16,-0.319000,0.169000,11,8,2,3,3.880000,112.580000,0.179600,34
META,2026-03-16,0.035000,-0.296000,13,10,0,3,4.120000,757.920000,0.033400,58
GOOGL,2026-03-16,-0.060000,-0.046000,16,8,3,4,2.980000,274.630000,0.084500,38
AMZN,2026-03-16,0.429000,0.655000,13,1,3,3,4.100000,235.120000,-0.016000,39
TSLA,2026-03-16,0.478000,0.622000,25,3,4,0,4.490000,986.490000,0.129800,46
JPM,2026-03-16,-0.057000,0.278000,15,11,1,3,3.560000,278.060000,0.137100,41
V,2026-03-16,0.517000,0.333000,27,10,4,0,4.370000,476.330000,0.187200,55
NFLX,2026-03-16,-0.227000,-0.361000,14,9,1,3,4.060000,1497.060000,0.152700,57
AAPL,2026-03-23,0.851000,-0.155000,14,10,3,2,4.440000,305.370000,0.273400,49
MSFT,2026-03-23,0.386000,-0.062000,21,6,3,0,4.690000,467.110000,-0.010000,52
NVDA,2026-03-23,0.570000,0.451000,17,3,5,0,3.960000,114.610000,0.200200,40
META,2026-03-23,-0.102000,0,13,14,3,2,3.970000,802.620000,0.104700,35
GOOGL,2026-03-23,0.175000,0.263000,23,4,3,2,4.540000,287.540000,0.109600,46
AMZN,2026-03-23,0.342000,0.315000,28,13,4,0,3.770000,250.240000,0.064700,31
TSLA,2026-03-23,0.485000,0.483000,15,12,3,2,4.020000,912.450000,0.032300,36
JPM,2026-03-23,-0.065000,-0.215000,19,12,3,3,4.200000,261.920000,0.065500,48
V,2026-03-23,-0.268000,-0.075000,14,6,0,3,3.600000,375.150000,-0.054600,48
NFLX,2026-03-23,0.434000,-0.068000,13,6,1,3,4.240000,1489.850000,0.111600,46
AAPL,2026-03-30,0.016000,0.063000,9,8,0,2,4.030000,238,0.009800,49
MSFT,2026-03-30,0.183000,0.282000,26,11,2,2,4.710000,426.140000,-0.054800,51
NVDA,2026-03-30,0.939000,0.031000,21,4,4,0,4.430000,124.660000,0.205200,25
META,2026-03-30,0.224000,-0.212000,6,9,2,5,3.440000,839.910000,0.227400,32
GOOGL,2026-03-30,0.611000,0.669000,23,2,7,0,4.380000,276.220000,0.073700,41
AMZN,2026-03-30,0.032000,0.058000,2,7,0,5,4,268.990000,0.215900,38
TSLA,2026-03-30,-0.099000,0.105000,10,3,2,1,4.200000,922.390000,0.114900,36
JPM,2026-03-30,0.101000,0.020000,16,9,3,4,3.810000,255.010000,0.099500,40
V,2026-03-30,0.128000,0.097000,15,4,1,1,3.990000,420.610000,0.050700,57
NFLX,2026-03-30,0.208000,0.440000,17,15,3,2,4.340000,1404.570000,0.083100,33
AAPL,2026-04-06,0.060000,-0.098000,19,14,0,2,3.850000,239.070000,0.054000,52
MSFT,2026-04-06,0.171000,0.036000,9,12,2,2,3.380000,469.820000,0.035400,55
NVDA,2026-04-06,-0.445000,0.115000,17,7,2,3,4.170000,113.810000,0.211500,55
META,2026-04-06,-0.338000,-0.278000,18,4,0,2,3.730000,775.830000,0.155600,38
GOOGL,2026-04-06,-0.485000,0.185000,7,4,1,2,3.680000,270.850000,0.071700,47
AMZN,2026-04-06,-0.181000,0.443000,18,13,2,2,3.970000,250.580000,0.170600,56
TSLA,2026-04-06,-0.450000,-0.204000,3,14,4,1,4.220000,904.450000,0.144900,42
JPM,2026-04-06,-0.516000,0.334000,12,6,2,4,3.260000,239.320000,0.086800,53
V,2026-04-06,-0.207000,0.287000,22,5,4,0,4.040000,438.100000,0.095600,49
NFLX,2026-04-06,-0.028000,0.201000,24,8,3,0,4.310000,1437.270000,0.154700,45
AAPL,2026-04-13,-0.025000,-0.398000,17,6,3,2,4.500000,269.760000,0.226800,30
MSFT,2026-04-13,0.335000,0.216000,15,10,4,0,4.310000,518.690000,0.206600,58
NVDA,2026-04-13,-0.409000,0.087000,15,2,1,1,4.210000,92.100000,0.042900,55
META,2026-04-13,0.004000,-0.044000,24,5,2,0,4.380000,744.410000,0.160600,28
GOOGL,2026-04-13,-0.074000,0.002000,5,9,2,4,4.350000,260.420000,0.073000,52
AMZN,2026-04-13,-0.222000,-0.273000,5,13,2,1,3.710000,240.800000,0.105400,33
TSLA,2026-04-13,0.577000,0.261000,11,6,1,1,4.330000,988.540000,0.154400,57
JPM,2026-04-13,-0.515000,-0.044000,14,18,0,4,2.890000,242.770000,0.111600,27
V,2026-04-13,0.164000,0.741000,12,9,2,3,3.820000,462.070000,0.170100,34
NFLX,2026-04-13,-0.460000,0.371000,12,12,1,1,3.580000,1398.090000,0.174100,48
AAPL,2026-04-20,-0.687000,0.009000,22,5,3,1,3.790000,269.110000,0.191200,39
MSFT,2026-04-20,0.096000,0.151000,10,12,1,2,4.020000,437.100000,-0.012300,25
NVDA,2026-04-20,0.476000,-0.188000,8,16,2,4,4.230000,87.910000,-0.046200,53
META,2026-04-20,0.343000,-0.032000,19,7,0,0,4.100000,665.940000,0.076300,51
GOOGL,2026-04-20,0.231000,-0.253000,19,20,1,3,3.720000,267.020000,0.052100,30
AMZN,2026-04-20,0.240000,0.376000,18,7,5,0,4.500000,246.430000,0.102700,34
TSLA,2026-04-20,0.385000,-0.316000,19,3,4,0,4.560000,1004,0.143500,31
JPM,2026-04-20,0.460000,0.256000,16,8,4,2,4.100000,229.330000,0.054400,49
V,2026-04-20,-0.678000,-0.082000,18,5,2,0,3.460000,475.740000,0.160800,50
NFLX,2026-04-20,-0.355000,0.088000,2,11,0,4,3.140000,1404.920000,0.112100,50
AAPL,2026-04-27,0.399000,-0.201000,14,10,5,3,4.360000,254.650000,0.129800,39
MSFT,2026-04-27,-0.007000,-0.521000,3,14,1,2,4,424.430000,-0.063500,28
NVDA,2026-04-27,0.373000,0.384000,12,5,6,1,4.800000,102.060000,0.099900,34
META,2026-04-27,0.438000,0.187000,8,7,2,2,4.410000,664.820000,0.125200,38
GOOGL,2026-04-27,0.126000,0.077000,19,0,6,2,4.630000,286.420000,0.167300,37
AMZN,2026-04-27,0.070000,0.148000,16,5,3,1,4,250.480000,0.093700,45
TSLA,2026-04-27,0.240000,-0.071000,18,9,3,4,3.770000,1051.600000,0.084300,32
JPM,2026-04-27,-0.560000,-0.089000,18,8,2,1,4.040000,226.610000,0.027900,36
V,2026-04-27,-0.395000,-0.243000,11,12,0,2,4.170000,434.990000,0.077100,40
NFLX,2026-04-27,-0.194000,-0.170000,5,9,1,2,3.850000,1397.990000,0.099200,39
AAPL,2026-05-04,0.160000,-0.458000,12,13,1,2,3.820000,252.760000,0.087800,35
MSFT,2026-05-04,0.082000,-0.159000,19,13,3,2,3.980000,496.270000,0.100200,53
NVDA,2026-05-04,-0.220000,0.186000,15,9,2,3,3.990000,106.370000,0.169800,47
META,2026-05-04,0.283000,0.097000,22,0,2,2,4.330000,691.740000,0.160800,27
GOOGL,2026-05-04,-0.335000,-0.008000,14,5,4,4,4.190000,222.340000,-0.028200,48
AMZN,2026-05-04,0.128000,-0.004000,19,4,3,1,4.200000,274.320000,0.109200,44
TSLA,2026-05-04,-0.071000,-0.011000,16,5,4,1,3.600000,1070.110000,0.111800,38
JPM,2026-05-04,0.228000,-0.283000,14,10,1,4,4.220000,251.220000,0.146100,29
V,2026-05-04,-0.182000,0.129000,14,10,3,1,4.260000,463.270000,0.146300,44
NFLX,2026-05-04,0.633000,0.304000,29,3,5,0,4.440000,1633.180000,0.273200,34
AAPL,2026-05-11,-0.475000,-0.103000,15,9,3,1,4.740000,229.800000,0.047900,32
MSFT,2026-05-11,-0.097000,0.104000,18,13,3,2,3.960000,506.560000,0.167900,29
NVDA,2026-05-11,0.019000,0.336000,19,3,5,0,3.680000,105.320000,0.228400,30
META,2026-05-11,0.177000,0.514000,24,4,3,3,4.140000,589.290000,0.002800,52
GOOGL,2026-05-11,-0.160000,0.299000,17,6,3,2,4.220000,281.500000,0.266200,49
AMZN,2026-05-11,0.209000,0.331000,18,4,5,2,3.650000,259.270000,0.063700,57
TSLA,2026-05-11,0.023000,0.320000,16,6,2,3,3.890000,1026.070000,0.141200,25
JPM,2026-05-11,0.192000,-0.116000,27,8,2,2,4.920000,206.500000,0.002000,54
V,2026-05-11,0.317000,-0.018000,13,10,3,1,3.540000,464.410000,0.172300,51
NFLX,2026-05-11,0.423000,-0.162000,19,10,1,4,3.700000,1143.860000,-0.152500,42
AAPL,2026-05-18,-0.017000,-0.364000,11,8,0,1,3.230000,222.500000,0.023600,31
MSFT,2026-05-18,0.070000,-0.078000,21,0,1,2,3.450000,502.360000,0.120800,39
NVDA,2026-05-18,-0.152000,-0.085000,9,13,0,5,4.050000,94.180000,0.145900,55
META,2026-05-18,0.084000,0.059000,12,10,0,2,3.760000,728.130000,0.149000,44
GOOGL,2026-05-18,0.189000,-0.081000,22,11,1,0,3.870000,272.930000,0.212200,33
AMZN,2026-05-18,-0.028000,-0.113000,18,20,4,1,3.650000,250.530000,0.026600,55
TSLA,2026-05-18,0.163000,-0.057000,27,1,3,4,4.440000,1160.520000,0.159000,39
JPM,2026-05-18,0.086000,0.105000,21,5,4,0,4.390000,222.190000,0.041200,45
V,2026-05-18,0.327000,-0.046000,19,8,4,0,4.120000,424.740000,0.093200,37
NFLX,2026-05-18,0.278000,0.004000,18,12,4,2,4.830000,1721.850000,0.271400,53
AAPL,2026-05-22,-0.028000,0.318000,11,5,2,2,3.680000,218.230000,-0.006900,47
MSFT,2026-05-22,-0.248000,0.293000,25,7,4,2,4.050000,542.870000,0.194100,48
NVDA,2026-05-22,0.091000,-0.268000,19,10,4,2,4.250000,102.950000,0.241600,45
META,2026-05-22,-0.122000,0.402000,17,7,5,1,4.200000,706.890000,0.157000,25
GOOGL,2026-05-22,-0.234000,-0.062000,10,11,1,3,3.510000,268.360000,0.140800,25
AMZN,2026-05-22,-0.004000,0.171000,9,3,4,1,3.730000,300.150000,0.199600,50
TSLA,2026-05-22,-0.308000,0.137000,18,5,3,0,4.710000,1177.830000,0.123400,45
JPM,2026-05-22,0.747000,-0.059000,22,8,4,0,3.740000,274.580000,0.232200,34
V,2026-05-22,-0.115000,0.010000,18,12,2,1,3.480000,421.570000,0.088700,39
NFLX,2026-05-22,-0.082000,-0.133000,11,14,2,4,3.110000,1474.960000,0.073400,43
AAPL,2026-06-01,-0.110000,0.364000,15,2,1,0,4.220000,249.040000,0.105200,57
MSFT,2026-06-01,0.539000,-0.214000,17,4,3,1,3.970000,546.240000,0.175500,27
NVDA,2026-06-01,-0.007000,0.431000,15,17,3,0,4.640000,112.110000,0.195100,41
META,2026-06-01,0.289000,0.487000,23,12,1,0,4.020000,658.440000,0.131700,33
GOOGL,2026-06-01,-0.020000,-0.335000,12,13,4,3,4.120000,270.660000,0.125800,53
AMZN,2026-06-01,0.096000,0.032000,2,23,0,3,3.360000,280.330000,0.068100,38
TSLA,2026-06-01,0.619000,0.095000,12,10,3,2,3.270000,969.200000,-0.036000,46
JPM,2026-06-01,0.563000,0.531000,22,5,4,3,4.040000,257.990000,0.152400,57
V,2026-06-01,0.236000,-0.194000,11,10,4,1,4.010000,383.610000,-0.002300,56
NFLX,2026-06-01,-0.105000,0.045000,13,17,0,5,3.620000,1557.580000,0.104200,28
AAPL,2026-06-08,0.182000,0.036000,21,10,2,3,3.620000,236.060000,0.008200,51
MSFT,2026-06-08,0.292000,0.550000,30,4,4,1,4.690000,483.160000,0.019800,27
NVDA,2026-06-08,0.282000,0.066000,10,4,0,4,3.330000,114.220000,0.237200,51
META,2026-06-08,0.059000,0.399000,29,0,6,0,4.720000,636.670000,0.117900,25
GOOGL,2026-06-08,0.081000,0.054000,16,8,7,2,4.600000,267.990000,0.110600,33
AMZN,2026-06-08,-0.038000,0.427000,21,9,2,2,4.010000,309.670000,0.169800,37
TSLA,2026-06-08,0.569000,0.472000,17,7,3,1,4.290000,1013.210000,0.040400,29
JPM,2026-06-08,0.092000,-0.176000,14,1,1,3,4.260000,225,-0.033600,46
V,2026-06-08,-0.766000,0.094000,8,13,0,3,3.140000,470.640000,0.180100,33
NFLX,2026-06-08,-0.358000,-0.318000,19,8,2,4,3.390000,1639.470000,0.085100,47
AAPL,2026-06-15,-0.476000,-0.190000,12,18,1,6,3.890000,290.020000,0.204100,29
